,59a734ce0c87a000017481ed
Pond10Fish4_TotalOutcome,789
Pond10Fish4_TimeLeft,253.903
Type,N
FishN,16
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.789
Pond10Fish5_PondTime,48.384
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,800
Pond10Fish5_TimeLeft,242.902
Type,N
FishN,16
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.147
Pond10Fish6_PondTime,60.796
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,811
Pond10Fish6_TimeLeft,230.49
Type,N
FishN,16
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.945
Pond10Fish7_PondTime,75.177
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,822
Pond10Fish7_TimeLeft,216.109
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,16.32
PondTime,90.648
TimeLeft,200.132
PondOutcome,77
TotalOutcome,822
PondStart,PondStart
PondIntroTime,10.068959251511842
Type,RD
FishN,19
Fish,1
Pond11Fish1_FishType,gray
Pond11Fish1_FishLatency,3.1578947368421053
Pond11Fish1_CatchTime,1.55
Pond11Fish1_PondTime,7.735
Pond11Fish1_PondOutcome,2
Pond11Fish1_TotalOutcome,824
Pond11Fish1_TimeLeft,181.702
Type,RD
FishN,19
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.3333333333333335
Pond11Fish2_CatchTime,1.366
Pond11Fish2_PondTime,13.704
Pond11Fish2_PondOutcome,14
Pond11Fish2_TotalOutcome,836
Pond11Fish2_TimeLeft,175.734
Type,RD
FishN,19
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.5294117647058822
Pond11Fish3_CatchTime,2.061
Pond11Fish3_PondTime,19.909
Pond11Fish3_PondOutcome,26
Pond11Fish3_TotalOutcome,848
Pond11Fish3_TimeLeft,169.529
Type,RD
FishN,19
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,3.75
Pond11Fish4_CatchTime,1.025
Pond11Fish4_PondTime,26.33
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,860
Pond11Fish4_TimeLeft,163.107
Type,RD
FishN,19
Fish,5
Pond11Fish5_FishType,gray
Pond11Fish5_FishLatency,4
Pond11Fish5_CatchTime,1.33
Pond11Fish5_PondTime,33.029
Pond11Fish5_PondOutcome,40
Pond11Fish5_TotalOutcome,862
Pond11Fish5_TimeLeft,156.409
Type,RD
FishN,19
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.285714285714286
Pond11Fish6_CatchTime,0.914
Pond11Fish6_PondTime,40.041
Pond11Fish6_PondOutcome,52
Pond11Fish6_TotalOutcome,874
Pond11Fish6_TimeLeft,149.396
Type,RD
FishN,19
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,4.615384615384615
Pond11Fish7_CatchTime,0.985
Pond11Fish7_PondTime,47.496
Pond11Fish7_PondOutcome,64
Pond11Fish7_TotalOutcome,886
Pond11Fish7_TimeLeft,141.942
Type,RD
FishN,19
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5
