,58752a4b2bd3c90001859e1d
Pond10Fish8_PondTime,74.836
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,713
Pond10Fish8_TimeLeft,351.195
Type,N
FishN,16
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,1.17
Pond10Fish9_PondTime,89.2
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,724
Pond10Fish9_TimeLeft,336.831
Type,N
FishN,16
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,12
Pond10Fish10_CatchTime,1.37
Pond10Fish10_PondTime,106.564
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,735
Pond10Fish10_TimeLeft,319.467
Type,N
FishN,16
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,15
Pond10Fish11_CatchTime,1.39
Pond10Fish11_PondTime,128.934
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,746
Pond10Fish11_TimeLeft,297.097
PondEnd_LastFish,11
FishN,14
Type,N
GiveUpTime,1.341
PondTime,129.867
TimeLeft,295.663
PondOutcome,121
TotalOutcome,746
PondStart,PondStart
PondIntroTime,18.26753162778914
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.765
Pond3Fish1_PondTime,8.623
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,758
Pond3Fish1_TimeLeft,268.136
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,-1
Pond3Fish2_PondTime,15.659
Pond3Fish2_PondOutcome,12
Pond3Fish2_TotalOutcome,758
Pond3Fish2_TimeLeft,261.1
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.332
Pond3Fish3_PondTime,23.019
Pond3Fish3_PondOutcome,24
Pond3Fish3_TotalOutcome,770
Pond3Fish3_TimeLeft,253.74
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,gray
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.464
Pond3Fish4_PondTime,30.838
Pond3Fish4_PondOutcome,26
Pond3Fish4_TotalOutcome,772
Pond3Fish4_TimeLeft,245.921
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,1.388
Pond3Fish5_PondTime,39.207
Pond3Fish5_PondOutcome,38
Pond3Fish5_TotalOutcome,784
Pond3Fish5_TimeLeft,237.552
Type,RD
FishN,18
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.225
Pond3Fish6_PondTime,48.233
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,796
Pond3Fish6_TimeLeft,228.526
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,1.845
Pond3Fish7_PondTime,58.244
Pond3Fish7_PondOutcome,62
Pond3Fish7_TotalOutcome,808
Pond3Fish7_TimeLeft,218.515
Type,RD
FishN,18
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,1.108
Pond3Fish8_PondTime,69.182
Pond3Fish8_PondOutcome,74
Pond3Fish8_TotalOutcome,820
Pond3Fish8_TimeLeft,207.577
Type,RD
FishN,18
Fish,9
Pond3Fish9_FishType,gray
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,0.966
Pond3Fish9_PondTime,81.548
Pond3Fish9_PondOutcome,76
Pond3Fish9_TotalOutcome,822
Pond3Fish9_TimeLeft,195.211
Type,RD
FishN,18
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,10
Pond3Fish10_CatchTime,1.757
Pond3Fish10_PondTime,95.972
Pond3Fish10_PondOutcome,88
Pond3Fish10_TotalOutcome,834
Pond3Fish10_TimeLeft,180.787
Type,RD
FishN,18
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,12
Pond3Fish11_CatchTime,1.419
Pond3Fish11_PondTime,113.335
Pond3Fish11_PondOutcome,100
Pond3Fish11_TotalOutcome,846
Pond3Fish11_TimeLeft,163.423
Type,RD
FishN,18
Fish,12
Pond3Fish12_FishType,gray
Pond3Fish12_FishLatency,15
Pond3Fish12_CatchTime,1.124
Pond3Fish12_PondTime,135.707
Pond3Fish12_PondOutcome,102
Pond3Fish12_TotalOutcome,848
Pond3Fish12_TimeLeft,141.052
PondEnd_LastFish,12
FishN,15
Type,RD
GiveUpTime,23.021
PondTime,158.052
TimeLeft,118.204
PondOutcome,102
TotalOutcome,848
PondStart,PondStart
PondIntroTime,18.656554834451526
Type,RD
FishN,15
Fish,1
Pond8Fish1_FishType,gray
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,7.664
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,848
Pond8Fish1_TimeLeft,91.276
Type,RD
FishN,15
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.009
Pond8Fish2_PondTime,13.548
Pond8Fish2_PondOutcome,12
Pond8Fish2_TotalOutcome,860
Pond8Fish2_TimeLeft,85.392
Type,RD
FishN,15
Fish,3
