,5bdeeb372562330001b9799a
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.184
Pond11Fish8_PondTime,80.097
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,526
Pond11Fish8_TimeLeft,560.087
Pond11_Type,RT
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.429
Pond11Fish9_PondTime,91.11
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,536
Pond11Fish9_TimeLeft,549.075
Pond11_Type,RT
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,1
Pond11Fish10_PondTime,103.501
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,546
Pond11Fish10_TimeLeft,536.684
Pond11_Type,RT
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.101
Pond11Fish11_PondTime,117.938
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,556
Pond11Fish11_TimeLeft,522.247
Pond11_Type,RT
Pond11Fish12_FishType,golden
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,0.94
Pond11Fish12_PondTime,135.349
Pond11Fish12_PondOutcome,130
Pond11Fish12_TotalOutcome,576
Pond11Fish12_TimeLeft,504.836
Pond11_Type,RT
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,15
Pond11Fish13_CatchTime,1.343
Pond11Fish13_PondTime,157.768
Pond11Fish13_PondOutcome,140
Pond11Fish13_TotalOutcome,586
Pond11Fish13_TimeLeft,482.417
Pond11_Type,RT
Pond11Fish14_FishType,purple
Pond11Fish14_FishLatency,20
Pond11Fish14_CatchTime,1.092
Pond11Fish14_PondTime,190.208
Pond11Fish14_PondOutcome,150
Pond11Fish14_TotalOutcome,596
Pond11Fish14_TimeLeft,449.977
Pond11_GiveUpTime,27.441
Pond11_PondTime,217.322
Pond11_PondOutcome,150
Pond11_TotalOutcome,596
Pond11_TimeLeft,422.863
Pond9IntroTime,13.846593159250915
Pond9_Type,RD
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.201
Pond9Fish1_PondTime,23.071
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,608
Pond9Fish1_TimeLeft,399.792
Pond9_Type,RD
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.353
Pond9Fish2_PondTime,30.119
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,620
Pond9Fish2_TimeLeft,392.744
Pond9_Type,RD
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.319
Pond9Fish3_PondTime,37.583
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,632
Pond9Fish3_TimeLeft,385.28
Pond9_Type,RD
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.052
Pond9Fish4_PondTime,45.463
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,644
Pond9Fish4_TimeLeft,377.399
Pond9_Type,RD
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.232
Pond9Fish5_PondTime,53.873
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,656
Pond9Fish5_TimeLeft,368.99
Pond9_Type,RD
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.015
Pond9Fish6_PondTime,62.968
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,668
Pond9Fish6_TimeLeft,359.895
Pond9_Type,RD
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.129
Pond9Fish7_PondTime,72.901
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,680
Pond9Fish7_TimeLeft,349.962
Pond9_Type,RD
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.267
Pond9Fish8_PondTime,83.914
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,692
Pond9Fish8_TimeLeft,338.948
Pond9_Type,RD
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.324
Pond9Fish9_PondTime,96.315
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,704
Pond9Fish9_TimeLeft,326.547
Pond9_Type,RD
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.016
Pond9Fish10_PondTime,110.728
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,716
Pond9Fish10_TimeLeft,312.135
Pond9_Type,RD
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,12
