,5c4a0edb10903d0001487d13
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,638
Pond3Fish6_TimeLeft,535.228
Pond3_GiveUpTime,0.919
Pond3_PondTime,75.659
Pond3_PondOutcome,70
Pond3_TotalOutcome,638
Pond3_TimeLeft,534.396
Pond5IntroTime,17.347052723634988
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.233
Pond5Fish1_PondTime,26.927
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,648
Pond5Fish1_TimeLeft,507.469
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.399
Pond5Fish2_PondTime,34.317
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,658
Pond5Fish2_TimeLeft,500.079
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.977
Pond5Fish3_PondTime,42.149
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,668
Pond5Fish3_TimeLeft,492.247
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.01
Pond5Fish4_PondTime,50.564
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,678
Pond5Fish4_TimeLeft,483.832
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.311
Pond5Fish5_PondTime,59.634
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,688
Pond5Fish5_TimeLeft,474.762
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.934
Pond5Fish6_PondTime,69.589
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,698
Pond5Fish6_TimeLeft,464.807
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.486
Pond5Fish7_PondTime,80.576
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,708
Pond5Fish7_TimeLeft,453.82
Pond5_GiveUpTime,0.913
Pond5_PondTime,81.576
Pond5_PondOutcome,70
Pond5_TotalOutcome,708
Pond5_TimeLeft,452.82
Pond6IntroTime,13.185197105631232
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,1.357
Pond6Fish1_PondTime,21.715
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,720
Pond6Fish1_TimeLeft,431.105
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.976
Pond6Fish2_PondTime,27.838
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,732
Pond6Fish2_TimeLeft,424.982
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,1.017
Pond6Fish3_PondTime,34.256
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,744
Pond6Fish3_TimeLeft,418.564
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.739
Pond6Fish4_PondTime,40.959
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,756
Pond6Fish4_TimeLeft,411.861
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.905
Pond6Fish5_PondTime,47.966
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,768
Pond6Fish5_TimeLeft,404.854
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,1.362
Pond6Fish6_PondTime,55.37
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,780
Pond6Fish6_TimeLeft,397.45
Pond6_Type,RD
Pond6Fish7_FishType,gray
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,1.16
Pond6Fish7_PondTime,63.208
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,782
Pond6Fish7_TimeLeft,389.612
Pond6_Type,RD
Pond6Fish8_FishType,blue
