,5bf5e55ebf67dc00015a2b3f
Pond6Fish10_TimeLeft,412.202
Pond6_Type,RD
Pond6Fish11_FishType,gray
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,1.13
Pond6Fish11_PondTime,104.704
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,766
Pond6Fish11_TimeLeft,401.257
Pond6_GiveUpTime,0.873
Pond6_PondTime,105.309
Pond6_PondOutcome,122
Pond6_TotalOutcome,766
Pond6_TimeLeft,400.652
Pond12IntroTime,17.24779755109921
Pond12_Type,RD
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,1.135
Pond12Fish1_PondTime,25.904
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,778
Pond12Fish1_TimeLeft,374.748
Pond12_Type,RD
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.849
Pond12Fish2_PondTime,32.411
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,790
Pond12Fish2_TimeLeft,368.241
Pond12_Type,RD
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,-1
Pond12Fish3_PondTime,39.117
Pond12Fish3_PondOutcome,24
Pond12Fish3_TotalOutcome,790
Pond12Fish3_TimeLeft,361.535
Pond12_Type,RD
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.169
Pond12Fish4_PondTime,46.092
Pond12Fish4_PondOutcome,36
Pond12Fish4_TotalOutcome,802
Pond12Fish4_TimeLeft,354.56
Pond12_Type,RD
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,1.604
Pond12Fish5_PondTime,53.448
Pond12Fish5_PondOutcome,48
Pond12Fish5_TotalOutcome,814
Pond12Fish5_TimeLeft,347.204
Pond12_Type,RD
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.845
Pond12Fish6_PondTime,61.273
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,826
Pond12Fish6_TimeLeft,339.379
Pond12_Type,RD
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,1.235
Pond12Fish7_PondTime,69.632
Pond12Fish7_PondOutcome,72
Pond12Fish7_TotalOutcome,838
Pond12Fish7_TimeLeft,331.02
Pond12_Type,RD
Pond12Fish8_FishType,gray
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,1.271
Pond12Fish8_PondTime,78.658
Pond12Fish8_PondOutcome,74
Pond12Fish8_TotalOutcome,840
Pond12Fish8_TimeLeft,321.994
Pond12_Type,RD
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,1.065
Pond12Fish9_PondTime,88.517
Pond12Fish9_PondOutcome,86
Pond12Fish9_TotalOutcome,852
Pond12Fish9_TimeLeft,312.135
Pond12_Type,RD
Pond12Fish10_FishType,gray
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,1.071
Pond12Fish10_PondTime,99.445
Pond12Fish10_PondOutcome,88
Pond12Fish10_TotalOutcome,854
Pond12Fish10_TimeLeft,301.206
Pond12_GiveUpTime,1.486
