,567046e0b937e400122ebf68
Pond12IntroTime,18.660984560847282
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.914
Pond12Fish1_PondTime,27.839
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,784
Pond12Fish1_TimeLeft,221.754
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.754
Pond12Fish2_PondTime,34.814
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,795
Pond12Fish2_TimeLeft,214.779
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.438
Pond12Fish3_PondTime,42.176
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,806
Pond12Fish3_TimeLeft,207.416
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.003
Pond12Fish4_PondTime,49.993
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,817
Pond12Fish4_TimeLeft,199.6
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.753
Pond12Fish5_PondTime,58.41
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,828
Pond12Fish5_TimeLeft,191.183
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.782
Pond12Fish6_PondTime,67.44
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,839
Pond12Fish6_TimeLeft,182.153
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.597
Pond12Fish7_PondTime,77.298
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,850
Pond12Fish7_TimeLeft,172.295
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.92
Pond12Fish8_PondTime,88.235
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,861
Pond12Fish8_TimeLeft,161.358
Pond12_GiveUpTime,3.873
Pond12_PondTime,91.634
Pond12_PondOutcome,88
Pond12_TotalOutcome,861
Pond12_TimeLeft,157.959
Pond8IntroTime,14.417518514674157
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.121
Pond8Fish1_PondTime,23.918
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,872
Pond8Fish1_TimeLeft,134.041
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.211
Pond8Fish2_PondTime,31.281
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,883
Pond8Fish2_TimeLeft,126.678
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.055
Pond8Fish3_PondTime,39.098
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,894
Pond8Fish3_TimeLeft,118.861
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.03
Pond8Fish4_PondTime,47.461
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,905
Pond8Fish4_TimeLeft,110.498
Pond8_Type,N
Pond8Fish5_FishType,green
