,5dccb9a22b1e54935b060464
Pond5Fish13_PondTime,124.933
Pond5Fish13_PondOutcome,140
Pond5Fish13_TotalOutcome,700
Pond5Fish13_TimeLeft,434.521
Pond5_Type,RT
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,0.915
Pond5Fish14_PondTime,139.32
Pond5Fish14_PondOutcome,150
Pond5Fish14_TotalOutcome,710
Pond5Fish14_TimeLeft,420.135
Pond5_Type,RT
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,12
Pond5Fish15_CatchTime,1.385
Pond5Fish15_PondTime,156.695
Pond5Fish15_PondOutcome,160
Pond5Fish15_TotalOutcome,720
Pond5Fish15_TimeLeft,402.76
Pond5_GiveUpTime,2.042
Pond5_PondTime,158.717
Pond5_PondOutcome,160
Pond5_TotalOutcome,720
Pond5_TimeLeft,400.738
Pond6IntroTime,13.756832641083747
Pond6_Type,RD
Pond6Fish1_FishType,gray
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.053
Pond6Fish1_PondTime,23.054
Pond6Fish1_PondOutcome,2
Pond6Fish1_TotalOutcome,722
Pond6Fish1_TimeLeft,377.684
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,0.998
Pond6Fish2_PondTime,30.053
Pond6Fish2_PondOutcome,14
Pond6Fish2_TotalOutcome,734
Pond6Fish2_TimeLeft,370.685
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.822
Pond6Fish3_PondTime,37.433
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,746
Pond6Fish3_TimeLeft,363.305
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,0.808
Pond6Fish4_PondTime,45.257
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,758
Pond6Fish4_TimeLeft,355.481
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,1.058
Pond6Fish5_PondTime,53.623
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,770
Pond6Fish5_TimeLeft,347.115
Pond6_Type,RD
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,1.082
Pond6Fish6_PondTime,62.66
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,782
Pond6Fish6_TimeLeft,338.078
Pond6_Type,RD
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,0.88
Pond6Fish7_PondTime,72.561
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,794
Pond6Fish7_TimeLeft,328.177
Pond6_Type,RD
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,0.78
Pond6Fish8_PondTime,83.5
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,806
Pond6Fish8_TimeLeft,317.237
Pond6_Type,RD
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,8.571428571428571
Pond6Fish9_CatchTime,0.856
Pond6Fish9_PondTime,95.873
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,818
Pond6Fish9_TimeLeft,304.865
Pond6_Type,RD
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,0.953
Pond6Fish10_PondTime,110.254
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,830
Pond6Fish10_TimeLeft,290.484
Pond6_Type,RD
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,0.957
Pond6Fish11_PondTime,127.628
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,842
Pond6Fish11_TimeLeft,273.11
Pond6_GiveUpTime,20.052
Pond6_PondTime,147.238
Pond6_PondOutcome,122
Pond6_TotalOutcome,842
Pond6_TimeLeft,253.5
Pond4IntroTime,19.072991679422557
Pond4_Type,RD
Pond4Fish1_FishType,gray
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.955
Pond4Fish1_PondTime,29.111
Pond4Fish1_PondOutcome,2
Pond4Fish1_TotalOutcome,844
Pond4Fish1_TimeLeft,224.389
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.935
Pond4Fish2_PondTime,36.964
Pond4Fish2_PondOutcome,14
Pond4Fish2_TotalOutcome,856
Pond4Fish2_TimeLeft,216.536
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.909
Pond4Fish3_PondTime,45.333
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,868
Pond4Fish3_TimeLeft,208.166
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.821
Pond4Fish4_PondTime,54.373
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,880
Pond4Fish4_TimeLeft,199.127
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.863
Pond4Fish5_PondTime,64.243
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,892
Pond4Fish5_TimeLeft,189.257
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.767
Pond4Fish6_PondTime,75.182
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,904
Pond4Fish6_TimeLeft,178.318
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.017
Pond4Fish7_PondTime,87.557
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,916
Pond4Fish7_TimeLeft,165.943
Pond4_Type,RD
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,0.785
Pond4Fish8_PondTime,101.928
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,928
Pond4Fish8_TimeLeft,151.572
Pond4_GiveUpTime,1.59
Pond4_PondTime,102.912
Pond4_PondOutcome,86
Pond4_TotalOutcome,928
Pond4_TimeLeft,150.588
Pond11IntroTime,18.956605507992208
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.029
Pond11Fish1_PondTime,29.396
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,939
Pond11Fish1_TimeLeft,121.192
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.825
Pond11Fish2_PondTime,37.775
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,950
Pond11Fish2_TimeLeft,112.813
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.902
Pond11Fish3_PondTime,46.825
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,961
Pond11Fish3_TimeLeft,103.763
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.018
Pond11Fish4_PondTime,56.693
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,972
Pond11Fish4_TimeLeft,93.895
Pond11_Type,N
Pond11Fish5_FishType,green
