,5bf0d82b5823f30001538ff5
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.429
Pond10Fish2_PondTime,34.097
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,851
Pond10Fish2_TimeLeft,376.58
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.987
Pond10Fish3_PondTime,40.746
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,862
Pond10Fish3_TimeLeft,369.931
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.047
Pond10Fish4_PondTime,47.728
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,873
Pond10Fish4_TimeLeft,362.949
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.132
Pond10Fish5_PondTime,55.092
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,884
Pond10Fish5_TimeLeft,355.585
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.073
Pond10Fish6_PondTime,62.907
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,895
Pond10Fish6_TimeLeft,347.77
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,1.008
Pond10Fish7_PondTime,71.273
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,906
Pond10Fish7_TimeLeft,339.404
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,1.56
Pond10Fish8_PondTime,80.304
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,917
Pond10Fish8_TimeLeft,330.373
Pond10_Type,N
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.055
Pond10Fish9_PondTime,90.168
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,928
Pond10Fish9_TimeLeft,320.509
