,5c9e974dc00f5a0012f9884d
Pond3_Type,N
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,0.809
Pond3Fish7_PondTime,86.093
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,796
Pond3Fish7_TimeLeft,357.362
Pond3_Type,N
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.073
Pond3Fish8_PondTime,103.454
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,807
Pond3Fish8_TimeLeft,340.001
Pond3_GiveUpTime,0.874
Pond3_PondTime,104.008
Pond3_PondOutcome,88
Pond3_TotalOutcome,807
Pond3_TimeLeft,339.447
Pond12IntroTime,18.902722117491066
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.404
Pond12Fish1_PondTime,29.957
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,818
Pond12Fish1_TimeLeft,309.49
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.022
Pond12Fish2_PondTime,36.938
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,829
Pond12Fish2_TimeLeft,302.509
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.916
Pond12Fish3_PondTime,44.3
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,840
Pond12Fish3_TimeLeft,295.147
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.107
Pond12Fish4_PondTime,52.116
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,851
Pond12Fish4_TimeLeft,287.331
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.925
Pond12Fish5_PondTime,60.482
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,862
Pond12Fish5_TimeLeft,278.964
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.2
Pond12Fish6_PondTime,69.512
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,873
Pond12Fish6_TimeLeft,269.935
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,0.912
Pond12Fish7_PondTime,79.375
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,884
Pond12Fish7_TimeLeft,260.072
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.06
Pond12Fish8_PondTime,90.311
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,895
Pond12Fish8_TimeLeft,249.135
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.017
Pond12Fish9_PondTime,102.666
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,906
Pond12Fish9_TimeLeft,236.781
Pond12_Type,N
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,0.903
Pond12Fish10_PondTime,117.036
