,589b7f625e63bf00013b2e5a
Pond1Fish6_CatchTime,0.739
Pond1Fish6_PondTime,73.646
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,893
Pond1Fish6_TimeLeft,261.044
Pond1_Type,RD
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,0.575
Pond1Fish7_PondTime,86.051
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,905
Pond1Fish7_TimeLeft,248.638
Pond1_Type,RD
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.711
Pond1Fish8_PondTime,100.458
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,917
Pond1Fish8_TimeLeft,234.231
Pond1_GiveUpTime,1.222
Pond1_PondTime,100.982
Pond1_PondOutcome,96
Pond1_TotalOutcome,917
Pond1_TimeLeft,233.708
Pond2IntroTime,18.121380512602627
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.895
Pond2Fish1_PondTime,26.662
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,928
Pond2Fish1_TimeLeft,207.046
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.889
Pond2Fish2_PondTime,32.853
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,939
Pond2Fish2_TimeLeft,200.855
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.736
Pond2Fish3_PondTime,39.271
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,950
Pond2Fish3_TimeLeft,194.437
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.784
Pond2Fish4_PondTime,46.005
Pond2Fish4_PondOutcome,44
