,5bb787e0d2279e0001d00e0b
Pond7Fish8_CatchTime,1.295
Pond7Fish8_PondTime,74.981
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,758
Pond7Fish8_TimeLeft,527.409
Type,N
FishN,12
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,1.779
Pond7Fish9_PondTime,89.467
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,769
Pond7Fish9_TimeLeft,512.923
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.542
Pond7Fish10_PondTime,106.855
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,780
Pond7Fish10_TimeLeft,495.535
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,1.135
PondTime,107.736
TimeLeft,494.152
PondOutcome,110
TotalOutcome,780
PondStart,PondStart
PondIntroTime,11.749731993768364
Type,RT
FishN,19
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.211
Pond4Fish1_PondTime,8.925
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,790
Pond4Fish1_TimeLeft,472.844
Type,RT
FishN,19
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.419
Pond4Fish2_PondTime,16.3
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,800
Pond4Fish2_TimeLeft,465.47
Type,RT
FishN,19
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.346
Pond4Fish3_PondTime,24.15
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,810
Pond4Fish3_TimeLeft,457.62
Type,RT
FishN,19
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.454
Pond4Fish4_PondTime,32.533
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,820
Pond4Fish4_TimeLeft,449.236
Type,RT
FishN,19
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.345
Pond4Fish5_PondTime,41.575
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,830
Pond4Fish5_TimeLeft,440.195
Type,RT
FishN,19
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.232
Pond4Fish6_PondTime,51.472
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,840
