,5d3a286034acef001ceb73ac
Pond5Fish10_PondTime,106.409
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,648
Pond5Fish10_TimeLeft,356.197
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,1.082
Pond5Fish11_PondTime,128.778
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,658
Pond5Fish11_TimeLeft,333.828
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,20
Pond5Fish12_CatchTime,1.131
Pond5Fish12_PondTime,161.146
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,668
Pond5Fish12_TimeLeft,301.46
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,2.172
PondTime,162.646
TimeLeft,299.454
PondOutcome,120
TotalOutcome,668
PondStart,PondStart
PondIntroTime,11.165444939397275
Type,RT
FishN,15
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.058
Pond9Fish1_PondTime,8.035
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,678
Pond9Fish1_TimeLeft,279.643
Type,RT
FishN,15
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.149
Pond9Fish2_PondTime,14.403
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,698
Pond9Fish2_TimeLeft,273.275
Type,RT
FishN,15
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.053
Pond9Fish3_PondTime,21.052
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,708
Pond9Fish3_TimeLeft,266.626
Type,RT
FishN,15
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,1.322
Pond9Fish4_PondTime,28.039
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,718
Pond9Fish4_TimeLeft,259.639
Type,RT
FishN,15
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.037
Pond9Fish5_PondTime,35.405
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,728
Pond9Fish5_TimeLeft,252.273
Type,RT
FishN,15
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,0.893
Pond9Fish6_PondTime,43.222
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,738
Pond9Fish6_TimeLeft,244.456
Type,RT
FishN,15
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,0.788
Pond9Fish7_PondTime,51.59
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,748
Pond9Fish7_TimeLeft,236.088
Type,RT
