,5e2180f70e01cd000d9f79ed
Pond4Fish5_CatchTime,0.979
Pond4Fish5_PondTime,35.397
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,768
Pond4Fish5_TimeLeft,220.944
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.932
Pond4Fish6_PondTime,43.211
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,779
Pond4Fish6_TimeLeft,213.13
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.813
Pond4Fish7_PondTime,51.577
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,790
Pond4Fish7_TimeLeft,204.764
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,0.941
Pond4Fish8_PondTime,60.61
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,801
Pond4Fish8_TimeLeft,195.731
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,0.986
Pond4Fish9_PondTime,70.477
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,812
Pond4Fish9_TimeLeft,185.864
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,1.191
Pond4Fish10_PondTime,81.408
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,823
Pond4Fish10_TimeLeft,174.933
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,0.961
Pond4Fish11_PondTime,93.772
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,834
Pond4Fish11_TimeLeft,162.569
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,1.052
Pond4Fish12_PondTime,108.138
Pond4Fish12_PondOutcome,132
Pond4Fish12_TotalOutcome,845
Pond4Fish12_TimeLeft,148.203
PondEnd_LastFish,12
FishN,17
Type,N
GiveUpTime,0.715
PondTime,125.281
TimeLeft,130.557
PondOutcome,132
TotalOutcome,845
PondStart,PondStart
PondIntroTime,16.03835290297866
Type,N
FishN,18
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.157
Pond1Fish1_PondTime,7.797
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,856
Pond1Fish1_TimeLeft,106.109
Type,N
FishN,18
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.218
Pond1Fish2_PondTime,13.913
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,867
Pond1Fish2_TimeLeft,99.993
Type,N
FishN,18
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.981
Pond1Fish3_PondTime,20.563
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,878
Pond1Fish3_TimeLeft,93.343
Type,N
FishN,18
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
