,5e226aee28b7b6533126bcee
Pond3Fish6_TimeLeft,442.28
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,0.85
Pond3Fish7_PondTime,46.965
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,680
Pond3Fish7_TimeLeft,434.918
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,1.068
Pond3Fish8_PondTime,54.782
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,690
Pond3Fish8_TimeLeft,427.101
PondEnd_LastFish,8
FishN,19
Type,RT
GiveUpTime,1.037
PondTime,55.085
TimeLeft,426.297
PondOutcome,80
TotalOutcome,690
PondStart,PondStart
PondIntroTime,15.112217646092176
Type,N
FishN,18
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,1.076
Pond8Fish1_PondTime,9.267
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,701
Pond8Fish1_TimeLeft,400.201
Type,N
FishN,18
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,1.024
Pond8Fish2_PondTime,17.085
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,712
Pond8Fish2_TimeLeft,392.383
Type,N
FishN,18
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.816
Pond8Fish3_PondTime,25.452
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,723
Pond8Fish3_TimeLeft,384.016
Type,N
FishN,18
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,1.116
Pond8Fish4_PondTime,34.482
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,734
Pond8Fish4_TimeLeft,374.986
Type,N
FishN,18
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,1.11
Pond8Fish5_PondTime,44.349
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,745
Pond8Fish5_TimeLeft,365.119
Type,N
FishN,18
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.094
Pond8Fish6_PondTime,55.284
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,756
Pond8Fish6_TimeLeft,354.184
PondEnd_LastFish,6
FishN,13
Type,N
GiveUpTime,0.733
PondTime,67.598
TimeLeft,341.369
PondOutcome,66
TotalOutcome,756
PondStart,PondStart
PondIntroTime,16.005567137617618
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.958
Pond5Fish1_PondTime,10.717
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,766
Pond5Fish1_TimeLeft,311.953
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.038
Pond5Fish2_PondTime,19.084
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,776
Pond5Fish2_TimeLeft,303.586
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.247
Pond5Fish3_PondTime,28.117
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,786
Pond5Fish3_TimeLeft,294.553
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.835
Pond5Fish4_PondTime,37.984
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,796
Pond5Fish4_TimeLeft,284.686
PondEnd_LastFish,4
FishN,12
Type,RT
GiveUpTime,2.913
PondTime,39.944
TimeLeft,282.222
PondOutcome,40
TotalOutcome,796
