,5d9202439796b3001772abb1
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,0.913
Pond11Fish6_PondTime,55.255
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,820
Pond11Fish6_TimeLeft,230.624
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,1.23
Pond11Fish7_PondTime,67.609
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,830
Pond11Fish7_TimeLeft,218.27
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.041
Pond11Fish8_PondTime,81.969
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,840
Pond11Fish8_TimeLeft,203.91
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,golden
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,0.775
Pond11Fish9_PondTime,99.329
Pond11Fish9_PondOutcome,110
Pond11Fish9_TotalOutcome,860
Pond11Fish9_TimeLeft,186.55
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,1.124
Pond11Fish10_PondTime,121.683
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,870
Pond11Fish10_TimeLeft,164.196
PondEnd_LastFish,10
FishN,13
Type,RT
GiveUpTime,0.369
PondTime,153.395
TimeLeft,131.983
PondOutcome,120
TotalOutcome,870
PondStart,PondStart
PondIntroTime,18.43472514534369
Type,RD
FishN,15
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.689
Pond6Fish1_PondTime,7.796
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,882
Pond6Fish1_TimeLeft,105.14
Type,RD
