,5d1005df9b7ef700184e458d
Pond8Fish8_TimeLeft,437.026
Type,N
FishN,18
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.051
Pond8Fish9_PondTime,81.345
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,601
Pond8Fish9_TimeLeft,424.657
Type,N
FishN,18
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,0.851
Pond8Fish10_PondTime,95.716
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,612
Pond8Fish10_TimeLeft,410.286
Type,N
FishN,18
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,1.207
Pond8Fish11_PondTime,113.083
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,623
Pond8Fish11_TimeLeft,392.919
PondEnd_LastFish,11
FishN,15
Type,N
GiveUpTime,2.092
PondTime,114.586
TimeLeft,390.915
PondOutcome,121
TotalOutcome,623
PondStart,PondStart
PondIntroTime,10.27616681996733
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.924
Pond5Fish1_PondTime,7.622
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,635
Pond5Fish1_TimeLeft,372.384
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.731
Pond5Fish2_PondTime,13.52
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,647
Pond5Fish2_TimeLeft,366.486
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.773
Pond5Fish3_PondTime,19.639
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,659
Pond5Fish3_TimeLeft,360.366
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,1.105
Pond5Fish4_PondTime,26.003
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,671
Pond5Fish4_TimeLeft,354.003
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.88
Pond5Fish5_PondTime,32.655
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,683
