,5cd7cccadcabe8001d0413ac
Pond2Fish7_CatchTime,1.196
Pond2Fish7_PondTime,62.28
Pond2Fish7_PondOutcome,54
Pond2Fish7_TotalOutcome,768
Pond2Fish7_TimeLeft,296.032
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,1.242
Pond2Fish8_PondTime,74.65
Pond2Fish8_PondOutcome,66
Pond2Fish8_TotalOutcome,780
Pond2Fish8_TimeLeft,283.661
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,1.477
Pond2Fish9_PondTime,89.018
Pond2Fish9_PondOutcome,78
Pond2Fish9_TotalOutcome,792
Pond2Fish9_TimeLeft,269.294
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,1.312
Pond2Fish10_PondTime,106.4
Pond2Fish10_PondOutcome,90
Pond2Fish10_TotalOutcome,804
Pond2Fish10_TimeLeft,251.912
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,15
Pond2Fish11_CatchTime,0.923
Pond2Fish11_PondTime,128.783
Pond2Fish11_PondOutcome,102
Pond2Fish11_TotalOutcome,816
Pond2Fish11_TimeLeft,229.529
Type,RD
FishN,12
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,20
Pond2Fish12_CatchTime,1.36
Pond2Fish12_PondTime,161.151
Pond2Fish12_PondOutcome,114
Pond2Fish12_TotalOutcome,828
Pond2Fish12_TimeLeft,197.161
PondEnd_LastFish,12
FishN,12
Type,RD
GiveUpTime,1.734
PondTime,162.448
TimeLeft,195.356
PondOutcome,114
TotalOutcome,828
PondStart,PondStart
PondIntroTime,13.951951572671533
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.281
Pond5Fish1_PondTime,9.297
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,838
Pond5Fish1_TimeLeft,171.475
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.377
Pond5Fish2_PondTime,17.122
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,848
Pond5Fish2_TimeLeft,163.65
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,golden
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.127
Pond5Fish3_PondTime,25.495
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,868
Pond5Fish3_TimeLeft,155.277
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.285
Pond5Fish4_PondTime,34.534
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,878
Pond5Fish4_TimeLeft,146.238
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.234
Pond5Fish5_PondTime,44.407
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,888
Pond5Fish5_TimeLeft,136.365
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.269
Pond5Fish6_PondTime,55.34
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,898
Pond5Fish6_TimeLeft,125.432
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,0.946
Pond5Fish7_PondTime,67.714
Pond5Fish7_PondOutcome,90
Pond5Fish7_TotalOutcome,918
Pond5Fish7_TimeLeft,113.058
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.302
Pond5Fish8_PondTime,82.081
