,5b684ef482d9db000118fc0a
Pond12Fish2_TimeLeft,418.393
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.802
Pond12Fish3_PondTime,25.525
Pond12Fish3_PondOutcome,26
Pond12Fish3_TotalOutcome,615
Pond12Fish3_TimeLeft,409.992
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,0.937
Pond12Fish4_PondTime,34.598
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,627
Pond12Fish4_TimeLeft,400.919
PondEnd_LastFish,4
FishN,13
Type,RD
GiveUpTime,4.309
PondTime,38.053
TimeLeft,396.958
PondOutcome,38
TotalOutcome,627
PondStart,PondStart
PondIntroTime,11.100374453235418
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,1.192
Pond3Fish1_PondTime,7.844
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,638
Pond3Fish1_TimeLeft,377.364
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,1.385
Pond3Fish2_PondTime,13.988
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,649
Pond3Fish2_TimeLeft,371.22
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.038
Pond3Fish3_PondTime,20.38
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,660
Pond3Fish3_TimeLeft,364.828
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.164
Pond3Fish4_PondTime,27.068
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,671
Pond3Fish4_TimeLeft,358.14
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.111
Pond3Fish5_PondTime,34.04
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,682
Pond3Fish5_TimeLeft,351.168
PondEnd_LastFish,5
FishN,19
Type,N
GiveUpTime,4.33
PondTime,37.69
TimeLeft,347.014
PondOutcome,55
TotalOutcome,682
PondStart,PondStart
PondIntroTime,16.008370488416404
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.788
Pond4Fish1_PondTime,9.275
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,692
Pond4Fish1_TimeLeft,321.096
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.027
Pond4Fish2_PondTime,17.116
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,702
Pond4Fish2_TimeLeft,313.255
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.917
Pond4Fish3_PondTime,25.523
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,712
Pond4Fish3_TimeLeft,304.848
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.818
Pond4Fish4_PondTime,34.615
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,722
Pond4Fish4_TimeLeft,295.756
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,44.547
Pond4Fish5_PondOutcome,40
Pond4Fish5_TotalOutcome,722
Pond4Fish5_TimeLeft,285.824
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,-1
Pond4Fish6_PondTime,59.793
Pond4Fish6_PondOutcome,40
Pond4Fish6_TotalOutcome,722
Pond4Fish6_TimeLeft,270.578
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,-1
Pond4Fish7_PondTime,74.63
Pond4Fish7_PondOutcome,40
Pond4Fish7_TotalOutcome,722
Pond4Fish7_TimeLeft,255.741
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,-1
Pond4Fish8_PondTime,93.796
Pond4Fish8_PondOutcome,40
Pond4Fish8_TotalOutcome,722
Pond4Fish8_TimeLeft,236.575
PondEnd_LastFish,8
FishN,16
Type,RT
GiveUpTime,68.294
PondTime,101.936
TimeLeft,227.932
PondOutcome,40
TotalOutcome,722
PondStart,PondStart
PondIntroTime,12.839650565292686
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,-1
Pond5Fish1_PondTime,8.637
Pond5Fish1_PondOutcome,0
Pond5Fish1_TotalOutcome,722
Pond5Fish1_TimeLeft,204.268
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,-1
Pond5Fish2_PondTime,17.076
Pond5Fish2_PondOutcome,0
Pond5Fish2_TotalOutcome,722
Pond5Fish2_TimeLeft,195.829
