,5dc84bb688f2805cb5b23ee5
Pond3Fish11_TotalOutcome,812
Pond3Fish11_TimeLeft,262.913
Type,RT
FishN,19
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,0.907
Pond3Fish12_PondTime,119.359
Pond3Fish12_PondOutcome,140
Pond3Fish12_TotalOutcome,822
Pond3Fish12_TimeLeft,245.553
Type,RT
FishN,19
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,15
Pond3Fish13_CatchTime,1.106
Pond3Fish13_PondTime,141.714
Pond3Fish13_PondOutcome,150
Pond3Fish13_TotalOutcome,832
Pond3Fish13_TimeLeft,223.198
Type,RT
FishN,19
Fish,14
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,20
Pond3Fish14_CatchTime,0.976
Pond3Fish14_PondTime,174.079
Pond3Fish14_PondOutcome,160
Pond3Fish14_TotalOutcome,842
Pond3Fish14_TimeLeft,190.833
Type,RT
FishN,19
Fish,15
Pond3Fish15_FishType,golden
Pond3Fish15_FishLatency,30
Pond3Fish15_CatchTime,0.958
Pond3Fish15_PondTime,236.45
Pond3Fish15_PondOutcome,180
Pond3Fish15_TotalOutcome,862
Pond3Fish15_TimeLeft,128.462
Type,RT
FishN,19
Fish,16
Pond3Fish16_FishType,purple
Pond3Fish16_FishLatency,60
Pond3Fish16_CatchTime,0.924
Pond3Fish16_PondTime,238.823
Pond3Fish16_PondOutcome,190
Pond3Fish16_TotalOutcome,872
Pond3Fish16_TimeLeft,126.089
PondEnd_LastFish,16
FishN,19
Type,RT
GiveUpTime,42.39
PondTime,280.348
TimeLeft,84.062
PondOutcome,190
TotalOutcome,872
PondStart,PondStart
PondIntroTime,12.884073029272258
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.921
Pond2Fish1_PondTime,7.614
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,882
Pond2Fish1_TimeLeft,62.933
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,0.923
Pond2Fish2_PondTime,13.51
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,892
Pond2Fish2_TimeLeft,57.037
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.06
Pond2Fish3_PondTime,19.626
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,902
Pond2Fish3_TimeLeft,50.92
Type,RT
