,5c345ebad4f77a0001a91ec0
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,0.982
Pond3Fish6_PondTime,48.279
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,740
Pond3Fish6_TimeLeft,527.997
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,0.923
Pond3Fish7_PondTime,58.166
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,750
Pond3Fish7_TimeLeft,518.11
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,7.5
Pond3Fish8_CatchTime,0.852
Pond3Fish8_PondTime,69.137
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,760
Pond3Fish8_TimeLeft,507.139
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,8.571428571428571
Pond3Fish9_CatchTime,0.934
Pond3Fish9_PondTime,81.531
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,770
Pond3Fish9_TimeLeft,494.745
PondEnd_LastFish,9
FishN,19
Type,RT
GiveUpTime,1.001
PondTime,81.681
TimeLeft,494.092
PondOutcome,90
TotalOutcome,770
PondStart,PondStart
PondIntroTime,17.74975331965834
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.002
Pond4Fish1_PondTime,9.298
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,782
Pond4Fish1_TimeLeft,466.406
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.881
Pond4Fish2_PondTime,17.165
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,794
Pond4Fish2_TimeLeft,458.538
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.855
Pond4Fish3_PondTime,25.554
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,806
Pond4Fish3_TimeLeft,450.149
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.891
Pond4Fish4_PondTime,34.607
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,818
Pond4Fish4_TimeLeft,441.097
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.018
Pond4Fish5_PondTime,44.486
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,830
Pond4Fish5_TimeLeft,431.218
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.01
Pond4Fish6_PondTime,55.463
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,842
Pond4Fish6_TimeLeft,420.241
PondEnd_LastFish,6
FishN,16
Type,RD
GiveUpTime,0.796
PondTime,67.837
TimeLeft,407.363
PondOutcome,72
TotalOutcome,842
PondStart,PondStart
