,5cfa36435c147c0019d33963
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.105
Pond11Fish1_PondTime,8.573
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,816
Pond11Fish1_TimeLeft,240.735
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,1.186
Pond11Fish2_PondTime,15.578
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,826
Pond11Fish2_TimeLeft,233.731
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,1.24
Pond11Fish3_PondTime,22.973
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,836
Pond11Fish3_TimeLeft,226.336
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,1.145
Pond11Fish4_PondTime,30.814
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,846
Pond11Fish4_TimeLeft,218.495
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,1.416
Pond11Fish5_PondTime,39.185
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,856
Pond11Fish5_TimeLeft,210.124
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,golden
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,1.036
Pond11Fish6_PondTime,48.212
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,876
Pond11Fish6_TimeLeft,201.097
Type,RT
FishN,14
