,5df3e85fdcd3e32d23631191
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,801
Pond11Fish10_TimeLeft,366.314
Type,RT
FishN,14
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,1.232
Pond11Fish11_PondTime,93.809
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,811
Pond11Fish11_TimeLeft,353.946
Type,RT
FishN,14
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,10
Pond11Fish12_CatchTime,1.178
Pond11Fish12_PondTime,108.175
Pond11Fish12_PondOutcome,130
Pond11Fish12_TotalOutcome,821
Pond11Fish12_TimeLeft,339.58
Type,RT
FishN,14
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,12
Pond11Fish13_CatchTime,1.212
Pond11Fish13_PondTime,125.545
Pond11Fish13_PondOutcome,140
Pond11Fish13_TotalOutcome,831
Pond11Fish13_TimeLeft,322.21
PondEnd_LastFish,13
FishN,14
Type,RT
GiveUpTime,19.069
PondTime,144.029
TimeLeft,303.222
PondOutcome,140
TotalOutcome,831
PondStart,PondStart
PondIntroTime,19.207317552063614
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.208
Pond1Fish1_PondTime,7.618
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,841
Pond1Fish1_TimeLeft,275.779
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.315
Pond1Fish2_PondTime,13.517
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,851
Pond1Fish2_TimeLeft,269.88
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1.047
Pond1Fish3_PondTime,19.628
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,861
Pond1Fish3_TimeLeft,263.769
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,0.777
Pond1Fish4_PondTime,25.984
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,871
Pond1Fish4_TimeLeft,257.413
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.089
Pond1Fish5_PondTime,32.644
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,881
Pond1Fish5_TimeLeft,250.753
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,0.702
Pond1Fish6_PondTime,39.642
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,891
Pond1Fish6_TimeLeft,243.754
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.093
