,5ddb705139bca1aab0b157d8
Pond6Fish6_FishType,gray
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.387
Pond6Fish6_PondTime,43.179
Pond6Fish6_PondOutcome,62
Pond6Fish6_TotalOutcome,702
Pond6Fish6_TimeLeft,547.148
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.655
Pond6Fish7_PondTime,51.541
Pond6Fish7_PondOutcome,74
Pond6Fish7_TotalOutcome,714
Pond6Fish7_TimeLeft,538.786
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,0.62
Pond6Fish8_PondTime,60.572
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,726
Pond6Fish8_TimeLeft,529.755
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,0.803
Pond6Fish9_PondTime,70.427
Pond6Fish9_PondOutcome,98
Pond6Fish9_TotalOutcome,738
Pond6Fish9_TimeLeft,519.9
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,0.694
Pond6Fish10_PondTime,81.362
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,750
Pond6Fish10_TimeLeft,508.965
Type,RD
FishN,19
Fish,11
Pond6Fish11_FishType,blue
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.449
Pond6Fish11_PondTime,93.727
Pond6Fish11_PondOutcome,122
Pond6Fish11_TotalOutcome,762
Pond6Fish11_TimeLeft,496.6
PondEnd_LastFish,11
FishN,19
Type,RD
GiveUpTime,0.58
PondTime,107.677
TimeLeft,482.148
PondOutcome,122
TotalOutcome,762
PondStart,PondStart
PondIntroTime,14.05346660874784
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.715
Pond8Fish1_PondTime,8.555
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,772
Pond8Fish1_TimeLeft,458.911
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.992
Pond8Fish2_PondTime,15.532
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,782
Pond8Fish2_TimeLeft,451.934
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.668
Pond8Fish3_PondTime,22.896
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,792
Pond8Fish3_TimeLeft,444.57
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.653
Pond8Fish4_PondTime,30.709
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,802
Pond8Fish4_TimeLeft,436.757
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.859
Pond8Fish5_PondTime,39.071
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,812
