,5d8564939c1e25000108b508
Pond10Fish5_CatchTime,1.268
Pond10Fish5_PondTime,41.596
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,759
Pond10Fish5_TimeLeft,405.949
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.14
Pond10Fish6_PondTime,51.463
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,770
Pond10Fish6_TimeLeft,396.082
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,1.209
Pond10Fish7_PondTime,62.414
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,781
Pond10Fish7_TimeLeft,385.131
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.544
Pond10Fish8_PondTime,74.791
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,792
Pond10Fish8_TimeLeft,372.753
PondEnd_LastFish,8
FishN,19
Type,N
GiveUpTime,10.051
PondTime,84.581
TimeLeft,362.459
PondOutcome,88
TotalOutcome,792
PondStart,PondStart
PondIntroTime,15.050657463725656
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.185
Pond3Fish1_PondTime,8.044
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,803
Pond3Fish1_TimeLeft,338.718
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.242
Pond3Fish2_PondTime,14.427
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,814
Pond3Fish2_TimeLeft,332.335
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,1.304
Pond3Fish3_PondTime,21.094
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,825
Pond3Fish3_TimeLeft,325.668
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.167
Pond3Fish4_PondTime,28.096
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,836
Pond3Fish4_TimeLeft,318.666
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.984
Pond3Fish5_PondTime,35.477
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,847
Pond3Fish5_TimeLeft,311.285
