,5c9a8b09597af60011351647
Pond1Fish12_TimeLeft,243.121
Type,RT
FishN,19
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,0.638
Pond1Fish13_PondTime,115.18
Pond1Fish13_PondOutcome,120
Pond1Fish13_TotalOutcome,715
Pond1Fish13_TimeLeft,228.766
Type,RT
FishN,19
Fish,14
Pond1Fish14_FishType,purple
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,1.157
Pond1Fish14_PondTime,132.55
Pond1Fish14_PondOutcome,130
Pond1Fish14_TotalOutcome,725
Pond1Fish14_TimeLeft,211.396
PondEnd_LastFish,14
FishN,19
Type,RT
GiveUpTime,16.693
PondTime,148.605
TimeLeft,194.838
PondOutcome,130
TotalOutcome,725
PondStart,PondStart
PondIntroTime,16.934495384339243
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.815
Pond10Fish1_PondTime,10.079
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,736
Pond10Fish1_TimeLeft,167.196
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.924
Pond10Fish2_PondTime,18.866
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,747
Pond10Fish2_TimeLeft,158.409
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.113
Pond10Fish3_PondTime,27.897
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,758
Pond10Fish3_TimeLeft,149.378
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.751
Pond10Fish4_PondTime,37.756
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,769
Pond10Fish4_TimeLeft,139.519
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.129
Pond10Fish5_PondTime,48.698
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,780
Pond10Fish5_TimeLeft,128.577
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.835
Pond10Fish6_PondTime,61.057
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,791
Pond10Fish6_TimeLeft,116.218
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.817
Pond10Fish7_PondTime,75.562
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,802
Pond10Fish7_TimeLeft,101.713
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
