,5cefbe6f1234ed0001970821
Type,N
FishN,19
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.93
Pond3Fish6_PondTime,39.119
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,889
Pond3Fish6_TimeLeft,397.329
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.046
Pond3Fish7_PondTime,48.173
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,900
Pond3Fish7_TimeLeft,388.276
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.136
Pond3Fish8_PondTime,58.084
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,911
Pond3Fish8_TimeLeft,378.365
Type,N
FishN,19
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,0.922
Pond3Fish9_PondTime,69.093
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,922
Pond3Fish9_TimeLeft,367.356
Type,N
FishN,19
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,0.913
Pond3Fish10_PondTime,81.509
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,933
Pond3Fish10_TimeLeft,354.94
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,1.365
PondTime,81.997
TimeLeft,353.948
