,5cc555d346fb4500171c0a9e
Pond1Fish9_TotalOutcome,723
Pond1Fish9_TimeLeft,489.093
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,0.826
Pond1Fish10_PondTime,72.188
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,734
Pond1Fish10_TimeLeft,480.057
Type,N
FishN,19
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,0.752
Pond1Fish11_PondTime,82.054
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,745
Pond1Fish11_TimeLeft,470.191
Type,N
FishN,19
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,0.993
Pond1Fish12_PondTime,92.986
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,756
Pond1Fish12_TimeLeft,459.259
Type,N
FishN,19
Fish,13
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,0.891
Pond1Fish13_PondTime,105.354
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,767
Pond1Fish13_TimeLeft,446.891
Type,N
FishN,19
Fish,14
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,0.826
Pond1Fish14_PondTime,119.721
Pond1Fish14_PondOutcome,154
Pond1Fish14_TotalOutcome,778
Pond1Fish14_TimeLeft,432.524
PondEnd_LastFish,14
FishN,19
Type,N
GiveUpTime,0.681
PondTime,137.051
TimeLeft,414.69
PondOutcome,154
TotalOutcome,778
PondStart,PondStart
PondIntroTime,15.672339934390038
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.041
Pond4Fish1_PondTime,8.265
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,789
Pond4Fish1_TimeLeft,390.124
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,0.671
Pond4Fish2_PondTime,14.916
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,800
Pond4Fish2_TimeLeft,383.473
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.019
Pond4Fish3_PondTime,21.9
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,811
Pond4Fish3_TimeLeft,376.489
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.819
Pond4Fish4_PondTime,29.266
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,822
Pond4Fish4_TimeLeft,369.123
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,0.825
Pond4Fish5_PondTime,37.083
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,833
Pond4Fish5_TimeLeft,361.306
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.93
Pond4Fish6_PondTime,45.45
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,844
Pond4Fish6_TimeLeft,352.939
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.1
Pond4Fish7_PondTime,54.483
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,855
Pond4Fish7_TimeLeft,343.906
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,0.951
