,57d3dc8f2638f600010885d1
Pond8Fish8_TotalOutcome,688
Pond8Fish8_TimeLeft,349.592
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.093
Pond8Fish9_PondTime,89.071
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,700
Pond8Fish9_TimeLeft,335.207
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,gray
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,1.007
Pond8Fish10_PondTime,106.445
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,702
Pond8Fish10_TimeLeft,317.833
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,0.885
Pond8Fish11_PondTime,128.834
Pond8Fish11_PondOutcome,112
Pond8Fish11_TotalOutcome,714
Pond8Fish11_TimeLeft,295.444
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,23.253
PondTime,151.178
TimeLeft,272.599
PondOutcome,112
TotalOutcome,714
PondStart,PondStart
PondIntroTime,17.39211329491809
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,0.958
Pond7Fish1_PondTime,9.287
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,724
Pond7Fish1_TimeLeft,245.282
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,0.842
Pond7Fish2_PondTime,17.109
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,734
Pond7Fish2_TimeLeft,237.46
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.999
Pond7Fish3_PondTime,25.488
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,744
Pond7Fish3_TimeLeft,229.081
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,1.104
Pond7Fish4_PondTime,34.525
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,754
Pond7Fish4_TimeLeft,220.044
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,1.051
Pond7Fish5_PondTime,44.404
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,764
Pond7Fish5_TimeLeft,210.165
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.973
Pond7Fish6_PondTime,55.354
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,774
Pond7Fish6_TimeLeft,199.215
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,1.103
Pond7Fish7_PondTime,67.732
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,784
Pond7Fish7_TimeLeft,186.837
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,golden
Pond7Fish8_FishLatency,10
Pond7Fish8_CatchTime,1.127
Pond7Fish8_PondTime,82.115
Pond7Fish8_PondOutcome,90
Pond7Fish8_TotalOutcome,804
Pond7Fish8_TimeLeft,172.454
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,12
Pond7Fish9_CatchTime,0.973
Pond7Fish9_PondTime,99.491
Pond7Fish9_PondOutcome,100
Pond7Fish9_TotalOutcome,814
Pond7Fish9_TimeLeft,155.078
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,15
Pond7Fish10_CatchTime,0.995
Pond7Fish10_PondTime,121.857
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,824
Pond7Fish10_TimeLeft,132.711
Type,RT
FishN,15
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,20
Pond7Fish11_CatchTime,1.055
Pond7Fish11_PondTime,154.227
Pond7Fish11_PondOutcome,120
Pond7Fish11_TotalOutcome,834
Pond7Fish11_TimeLeft,100.342
PondEnd_LastFish,11
FishN,15
Type,RT
GiveUpTime,28.397
PondTime,181.887
TimeLeft,72.181
PondOutcome,120
TotalOutcome,834
PondStart,PondStart
PondIntroTime,10.364717587362975
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,0.792
Pond2Fish1_PondTime,8.293
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,846
Pond2Fish1_TimeLeft,52.905
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.83
Pond2Fish2_PondTime,14.942
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,858
Pond2Fish2_TimeLeft,46.256
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,gray
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.203
Pond2Fish3_PondTime,21.923
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,860
Pond2Fish3_TimeLeft,39.275
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.983
Pond2Fish4_PondTime,29.305
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,872
Pond2Fish4_TimeLeft,31.893
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.429
Pond2Fish5_PondTime,37.13
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,884
Pond2Fish5_TimeLeft,24.068
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
