,dsahay
Pond12Fish4_PondTime,31.317
Pond12Fish4_PondOutcome,38
Pond12Fish4_TotalOutcome,473
Pond12Fish4_TimeLeft,647.627
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,1.629
Pond12Fish5_PondTime,40.117
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,485
Pond12Fish5_TimeLeft,638.827
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.945
Pond12Fish6_PondTime,48.475
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,497
Pond12Fish6_TimeLeft,630.469
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,1.197
Pond12Fish7_PondTime,57.516
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,509
Pond12Fish7_TimeLeft,621.428
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,1.089
Pond12Fish8_PondTime,67.389
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,521
Pond12Fish8_TimeLeft,611.555
PondEnd_LastFish,8
FishN,13
Type,RD
GiveUpTime,0.892
PondTime,67.581
TimeLeft,610.862
PondOutcome,86
TotalOutcome,521
PondStart,PondStart
PondIntroTime,16.121059632860124
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.501
Pond4Fish1_PondTime,8.906
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,531
Pond4Fish1_TimeLeft,582.6
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.734
Pond4Fish2_PondTime,16.311
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,541
Pond4Fish2_TimeLeft,575.195
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.392
Pond4Fish3_PondTime,24.142
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,551
Pond4Fish3_TimeLeft,567.364
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.107
Pond4Fish4_PondTime,32.508
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,561
Pond4Fish4_TimeLeft,558.998
PondEnd_LastFish,4
FishN,16
Type,RT
GiveUpTime,0.723
PondTime,32.547
TimeLeft,558.458
PondOutcome,40
TotalOutcome,561
PondStart,PondStart
PondIntroTime,14.761712048202753
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.989
Pond11Fish1_PondTime,9.743
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,572
Pond11Fish1_TimeLeft,533.33
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.794
Pond11Fish2_PondTime,18.116
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,583
Pond11Fish2_TimeLeft,524.957
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.159
Pond11Fish3_PondTime,27.161
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,594
Pond11Fish3_TimeLeft,515.912
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.948
Pond11Fish4_PondTime,37.045
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,605
Pond11Fish4_TimeLeft,506.028
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.233
Pond11Fish5_PondTime,47.987
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,616
Pond11Fish5_TimeLeft,495.086
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.076
Pond11Fish6_PondTime,60.363
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,627
Pond11Fish6_TimeLeft,482.71
PondEnd_LastFish,6
FishN,14
Type,N
GiveUpTime,13.065
PondTime,72.71
TimeLeft,469.861
PondOutcome,66
TotalOutcome,627
PondStart,PondStart
PondIntroTime,17.571606424171478
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.043
Pond3Fish1_PondTime,8.289
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,639
Pond3Fish1_TimeLeft,443.382
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.102
