,5b62ceb8e04cbf0001407a5d
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,781
Pond11Fish3_TimeLeft,308.819
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.402
Pond11Fish4_PondTime,28.031
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,792
Pond11Fish4_TimeLeft,301.827
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,1.733
Pond11Fish5_PondTime,35.451
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,803
Pond11Fish5_TimeLeft,294.407
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,1.193
Pond11Fish6_PondTime,43.274
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,814
Pond11Fish6_TimeLeft,286.584
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,1.015
Pond11Fish7_PondTime,51.658
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,825
Pond11Fish7_TimeLeft,278.2
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.128
Pond11Fish8_PondTime,60.701
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,836
Pond11Fish8_TimeLeft,269.157
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.06
Pond11Fish9_PondTime,70.569
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,847
Pond11Fish9_TimeLeft,259.289
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,1.543
PondTime,71.377
TimeLeft,257.978
PondOutcome,99
TotalOutcome,847
PondStart,PondStart
PondIntroTime,19.653648457024246
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.5
Pond10Fish1_PondTime,8.902
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,859
Pond10Fish1_TimeLeft,228.775
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.429
Pond10Fish2_PondTime,16.265
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,871
Pond10Fish2_TimeLeft,221.412
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,5
