,5a6ca245d5d4cb0001d66195
Fish,7
Pond8Fish7_FishType,gray
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.953
Pond8Fish7_PondTime,49.698
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,536
Pond8Fish7_TimeLeft,682.535
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,0.83
Pond8Fish8_PondTime,58.107
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,548
Pond8Fish8_TimeLeft,674.126
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,0.844
Pond8Fish9_PondTime,67.191
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,560
Pond8Fish9_TimeLeft,665.041
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.081
Pond8Fish10_PondTime,77.105
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,572
Pond8Fish10_TimeLeft,655.128
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,7.5
Pond8Fish11_CatchTime,1.02
Pond8Fish11_PondTime,88.081
Pond8Fish11_PondOutcome,122
Pond8Fish11_TotalOutcome,584
Pond8Fish11_TimeLeft,644.152
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,0.769
PondTime,100.222
TimeLeft,631.487
PondOutcome,122
TotalOutcome,584
PondStart,PondStart
PondIntroTime,13.056203927844763
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,1.343
Pond10Fish1_PondTime,8.068
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,594
Pond10Fish1_TimeLeft,609.731
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,0.8
Pond10Fish2_PondTime,14.486
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,604
Pond10Fish2_TimeLeft,603.313
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.916
Pond10Fish3_PondTime,21.171
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,614
Pond10Fish3_TimeLeft,596.628
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.004
Pond10Fish4_PondTime,28.185
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,624
Pond10Fish4_TimeLeft,589.614
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,4.615384615384615
