,5c7b73bb19b8d40017e6d392
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,757
Pond7Fish10_TimeLeft,433.263
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,0.937
Pond7Fish11_PondTime,88.836
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,768
Pond7Fish11_TimeLeft,422.175
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,0.8
Pond7Fish12_PondTime,101.352
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,779
Pond7Fish12_TimeLeft,409.66
Type,N
FishN,15
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,0.924
Pond7Fish13_PondTime,115.826
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,790
Pond7Fish13_TimeLeft,395.186
PondEnd_LastFish,13
FishN,15
Type,N
GiveUpTime,0.397
PondTime,132.759
TimeLeft,377.744
PondOutcome,143
TotalOutcome,790
PondStart,PondStart
PondIntroTime,17.172713042236865
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,golden
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,0.828
Pond11Fish1_PondTime,8.682
Pond11Fish1_PondOutcome,20
Pond11Fish1_TotalOutcome,810
Pond11Fish1_TimeLeft,351.265
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4.285714285714286
Pond11Fish2_CatchTime,0.889
Pond11Fish2_PondTime,15.792
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,820
Pond11Fish2_TimeLeft,344.155
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.615384615384615
Pond11Fish3_CatchTime,1.003
Pond11Fish3_PondTime,23.275
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,830
Pond11Fish3_TimeLeft,336.672
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,5
Pond11Fish4_CatchTime,0.675
Pond11Fish4_PondTime,31.208
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,840
Pond11Fish4_TimeLeft,328.739
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5.454545454545454
Pond11Fish5_CatchTime,0.767
Pond11Fish5_PondTime,39.708
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,850
Pond11Fish5_TimeLeft,320.238
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,6
Pond11Fish6_CatchTime,0.84
Pond11Fish6_PondTime,48.877
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,860
Pond11Fish6_TimeLeft,311.07
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6.666666666666667
Pond11Fish7_CatchTime,0.861
Pond11Fish7_PondTime,58.879
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,870
Pond11Fish7_TimeLeft,301.068
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,golden
Pond11Fish8_FishLatency,7.5
Pond11Fish8_CatchTime,0.762
Pond11Fish8_PondTime,69.96
Pond11Fish8_PondOutcome,100
Pond11Fish8_TotalOutcome,890
Pond11Fish8_TimeLeft,289.987
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,8.571428571428571
Pond11Fish9_CatchTime,0.805
Pond11Fish9_PondTime,82.46
Pond11Fish9_PondOutcome,110
Pond11Fish9_TotalOutcome,900
Pond11Fish9_TimeLeft,277.486
Type,RT
FishN,14
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,10
Pond11Fish10_CatchTime,0.773
Pond11Fish10_PondTime,96.96
Pond11Fish10_PondOutcome,120
Pond11Fish10_TotalOutcome,910
Pond11Fish10_TimeLeft,262.986
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,0.274
PondTime,113.74
TimeLeft,245.7
PondOutcome,120
TotalOutcome,910
PondStart,PondStart
PondIntroTime,11.780447650235146
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.944
Pond4Fish1_PondTime,9.391
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,922
Pond4Fish1_TimeLeft,223.903
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.063
Pond4Fish2_PondTime,17.341
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,934
Pond4Fish2_TimeLeft,215.953
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,gray
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.777
Pond4Fish3_PondTime,25.841
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,936
Pond4Fish3_TimeLeft,207.453
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.827
Pond4Fish4_PondTime,34.922
Pond4Fish4_PondOutcome,38
Pond4Fish4_TotalOutcome,948
Pond4Fish4_TimeLeft,198.372
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.658
Pond4Fish5_PondTime,44.941
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,960
Pond4Fish5_TimeLeft,188.352
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.755
Pond4Fish6_PondTime,56.019
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,972
Pond4Fish6_TimeLeft,177.275
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,0.697
Pond4Fish7_PondTime,68.534
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,984
Pond4Fish7_TimeLeft,164.76
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,0.875
Pond4Fish8_PondTime,83.057
Pond4Fish8_PondOutcome,86
