,5c4410ed3526c80001fcaea8
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,694
Pond7Fish7_TimeLeft,314.423
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,1.13
Pond7Fish8_PondTime,74.904
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,706
Pond7Fish8_TimeLeft,302.022
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,1.051
Pond7Fish9_PondTime,89.304
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,718
Pond7Fish9_TimeLeft,287.622
PondEnd_LastFish,9
FishN,15
Type,RD
GiveUpTime,0.673
PondTime,106.693
TimeLeft,269.73
PondOutcome,108
TotalOutcome,718
PondStart,PondStart
PondIntroTime,13.87143871979788
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.344
Pond11Fish1_PondTime,9.313
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,728
Pond11Fish1_TimeLeft,245.869
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.079
Pond11Fish2_PondTime,17.173
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,738
Pond11Fish2_TimeLeft,238.009
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.315
Pond11Fish3_PondTime,25.577
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,748
Pond11Fish3_TimeLeft,229.605
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.157
Pond11Fish4_PondTime,34.65
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,758
Pond11Fish4_TimeLeft,220.532
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,1.131
Pond11Fish5_PondTime,44.538
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,768
Pond11Fish5_TimeLeft,210.644
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,1.012
Pond11Fish6_PondTime,55.511
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,778
Pond11Fish6_TimeLeft,199.671
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,1.213
Pond11Fish7_PondTime,67.904
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,788
Pond11Fish7_TimeLeft,187.278
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.204
Pond11Fish8_PondTime,82.286
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,798
Pond11Fish8_TimeLeft,172.896
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,0.994
Pond11Fish9_PondTime,99.689
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,808
Pond11Fish9_TimeLeft,155.493
Type,RT
FishN,14
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,1.046
Pond11Fish10_PondTime,122.101
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,818
Pond11Fish10_TimeLeft,133.081
Type,RT
FishN,14
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,20
Pond11Fish11_CatchTime,1.272
Pond11Fish11_PondTime,154.508
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,828
Pond11Fish11_TimeLeft,100.674
PondEnd_LastFish,11
FishN,14
Type,RT
GiveUpTime,0.863
PondTime,154.847
TimeLeft,99.825
PondOutcome,110
TotalOutcome,828
PondStart,PondStart
PondIntroTime,11.139537366107106
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.206
Pond2Fish1_PondTime,7.826
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,840
Pond2Fish1_TimeLeft,80.182
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.188
Pond2Fish2_PondTime,13.962
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,852
Pond2Fish2_TimeLeft,74.046
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,0.968
Pond2Fish3_PondTime,20.359
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,864
Pond2Fish3_TimeLeft,67.649
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
