,5d67b6d92b7448000173d95a
Pond7Fish4_CatchTime,1.097
Pond7Fish4_PondTime,37.161
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,741
Pond7Fish4_TimeLeft,430.524
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,gray
Pond7Fish5_FishLatency,7.5
Pond7Fish5_CatchTime,-1
Pond7Fish5_PondTime,48.201
Pond7Fish5_PondOutcome,48
Pond7Fish5_TotalOutcome,741
Pond7Fish5_TimeLeft,419.484
PondEnd_LastFish,5
FishN,15
Type,RD
GiveUpTime,20.59
PondTime,57.056
TimeLeft,410.126
PondOutcome,48
TotalOutcome,741
PondStart,PondStart
PondIntroTime,14.897103803232312
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.031
Pond12Fish1_PondTime,8.603
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,753
Pond12Fish1_TimeLeft,385.999
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.052
Pond12Fish2_PondTime,15.621
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,765
Pond12Fish2_TimeLeft,378.982
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.241
Pond12Fish3_PondTime,23.013
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,777
Pond12Fish3_TimeLeft,371.589
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.029
Pond12Fish4_PondTime,30.869
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,789
Pond12Fish4_TimeLeft,363.734
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.08
Pond12Fish5_PondTime,39.272
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,801
Pond12Fish5_TimeLeft,355.331
Type,RD
FishN,13
Fish,6
Pond12Fish6_FishType,gray
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.257
Pond12Fish6_PondTime,48.334
Pond12Fish6_PondOutcome,62
Pond12Fish6_TotalOutcome,803
Pond12Fish6_TimeLeft,346.268
Type,RD
FishN,13
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.377
Pond12Fish7_PondTime,58.204
Pond12Fish7_PondOutcome,74
Pond12Fish7_TotalOutcome,815
Pond12Fish7_TimeLeft,336.399
Type,RD
FishN,13
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.055
Pond12Fish8_PondTime,69.187
Pond12Fish8_PondOutcome,86
Pond12Fish8_TotalOutcome,827
Pond12Fish8_TimeLeft,325.416
Type,RD
FishN,13
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.05
Pond12Fish9_PondTime,81.583
Pond12Fish9_PondOutcome,98
Pond12Fish9_TotalOutcome,839
Pond12Fish9_TimeLeft,313.019
PondEnd_LastFish,9
FishN,13
Type,RD
GiveUpTime,1.444
PondTime,82.273
TimeLeft,311.826
PondOutcome,98
TotalOutcome,839
PondStart,PondStart
PondIntroTime,19.092629686929286
Type,RT
FishN,19
Fish,1
Pond3Fish1_FishType,golden
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.119
Pond3Fish1_PondTime,8.924
Pond3Fish1_PondOutcome,20
Pond3Fish1_TotalOutcome,859
Pond3Fish1_TimeLeft,283.166
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.257
Pond3Fish2_PondTime,16.328
Pond3Fish2_PondOutcome,30
Pond3Fish2_TotalOutcome,869
Pond3Fish2_TimeLeft,275.762
Type,RT
FishN,19
