,5dff62a6df98d9ba45117f52
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,-1
Pond4Fish4_PondTime,16.955
Pond4Fish4_PondOutcome,24
Pond4Fish4_TotalOutcome,646
Pond4Fish4_TimeLeft,435.238
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,0.92
Pond4Fish6_PondTime,25.981
Pond4Fish6_PondOutcome,36
Pond4Fish6_TotalOutcome,658
Pond4Fish6_TimeLeft,426.212
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6
Pond4Fish6_CatchTime,-1
Pond4Fish6_PondTime,25.983
Pond4Fish6_PondOutcome,36
Pond4Fish6_TotalOutcome,658
Pond4Fish6_TimeLeft,426.21
PondEnd_LastFish,6
FishN,16
Type,RD
GiveUpTime,0.987
PondTime,36.802
TimeLeft,414.888
PondOutcome,36
TotalOutcome,658
PondStart,PondStart
PondIntroTime,16.148414076305926
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,0.729
Pond3Fish1_PondTime,7.799
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,669
Pond3Fish1_TimeLeft,390.33
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.715
Pond3Fish2_PondTime,13.91
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,680
Pond3Fish2_TimeLeft,384.219
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.903
Pond3Fish3_PondTime,20.271
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,691
Pond3Fish3_TimeLeft,377.858
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1
Pond3Fish4_PondTime,26.915
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,702
Pond3Fish4_TimeLeft,371.214
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.758
Pond3Fish5_PondTime,33.886
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,713
Pond3Fish5_TimeLeft,364.243
Type,N
FishN,19
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.581
Pond3Fish6_PondTime,41.245
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,724
Pond3Fish6_TimeLeft,356.884
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.716
Pond3Fish7_PondTime,49.056
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,735
Pond3Fish7_TimeLeft,349.073
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.858
Pond3Fish8_PondTime,57.417
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,746
Pond3Fish8_TimeLeft,340.712
Type,N
FishN,19
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.065
Pond3Fish9_PondTime,66.441
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,757
Pond3Fish9_TimeLeft,331.687
Type,N
FishN,19
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,0.873
Pond3Fish10_PondTime,76.302
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,768
Pond3Fish10_TimeLeft,321.827
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.574
PondTime,87.215
TimeLeft,310.413
PondOutcome,110
TotalOutcome,768
PondStart,PondStart
PondIntroTime,11.600253940559924
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,0.572
Pond5Fish1_PondTime,8.555
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,780
Pond5Fish1_TimeLeft,289.647
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,1.004
Pond5Fish2_PondTime,15.527
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,792
Pond5Fish2_TimeLeft,282.675
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.039
Pond5Fish3_PondTime,22.886
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,804
Pond5Fish3_TimeLeft,275.316
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,0.559
Pond5Fish4_PondTime,30.698
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,816
Pond5Fish4_TimeLeft,267.504
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,0.723
Pond5Fish5_PondTime,39.057
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,828
Pond5Fish5_TimeLeft,259.145
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,1.063
Pond5Fish6_PondTime,48.081
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,840
Pond5Fish6_TimeLeft,250.121
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,0.77
