,5dff35333f2915b958dfd601
Pond5Fish10_CatchTime,1.303
Pond5Fish10_PondTime,76.755
Pond5Fish10_PondOutcome,90
Pond5Fish10_TotalOutcome,808
Pond5Fish10_TimeLeft,164.817
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,2.039
Pond5Fish11_PondTime,87.768
Pond5Fish11_PondOutcome,100
Pond5Fish11_TotalOutcome,818
Pond5Fish11_TimeLeft,153.804
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.455
Pond5Fish12_PondTime,100.134
Pond5Fish12_PondOutcome,110
Pond5Fish12_TotalOutcome,828
Pond5Fish12_TimeLeft,141.438
Type,RT
FishN,12
Fish,13
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,10
Pond5Fish13_CatchTime,1.265
Pond5Fish13_PondTime,114.509
Pond5Fish13_PondOutcome,120
Pond5Fish13_TotalOutcome,838
Pond5Fish13_TimeLeft,127.063
Type,RT
FishN,12
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,12
Pond5Fish14_CatchTime,1.079
Pond5Fish14_PondTime,131.871
Pond5Fish14_PondOutcome,130
Pond5Fish14_TotalOutcome,848
Pond5Fish14_TimeLeft,109.701
Type,RT
FishN,12
Fish,15
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,15
Pond5Fish15_CatchTime,2.021
Pond5Fish15_PondTime,154.317
Pond5Fish15_PondOutcome,140
Pond5Fish15_TotalOutcome,858
Pond5Fish15_TimeLeft,87.255
PondEnd_LastFish,15
FishN,12
Type,RT
GiveUpTime,2.885
PondTime,157.102
TimeLeft,83.967
PondOutcome,140
TotalOutcome,858
PondStart,PondStart
PondIntroTime,16.288386238738894
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.75
Pond6Fish1_CatchTime,1.184
