,5c58039de9813700018aef07
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.799
Pond3Fish5_PondTime,41.484
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,569
Pond3Fish5_TimeLeft,649.105
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,gray
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,-1
Pond3Fish6_PondTime,51.415
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,569
Pond3Fish6_TimeLeft,639.174
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.299
Pond3Fish7_PondTime,62.349
Pond3Fish7_PondOutcome,62
Pond3Fish7_TotalOutcome,581
Pond3Fish7_TimeLeft,628.24
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,1.955
PondTime,63.802
TimeLeft,626.283
PondOutcome,62
TotalOutcome,581
PondStart,PondStart
PondIntroTime,16.75913685699925
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,3.75
Pond9Fish1_CatchTime,1.178
Pond9Fish1_PondTime,8.285
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,591
Pond9Fish1_TimeLeft,600.621
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4
Pond9Fish2_CatchTime,1.167
Pond9Fish2_PondTime,14.934
Pond9Fish2_PondOutcome,20
Pond9Fish2_TotalOutcome,601
Pond9Fish2_TimeLeft,593.972
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,4.285714285714286
Pond9Fish3_CatchTime,0.992
Pond9Fish3_PondTime,21.917
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,611
Pond9Fish3_TimeLeft,586.989
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4.615384615384615
Pond9Fish4_CatchTime,1.129
Pond9Fish4_PondTime,29.283
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,621
Pond9Fish4_TimeLeft,579.623
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,golden
Pond9Fish5_FishLatency,5
Pond9Fish5_CatchTime,0.811
Pond9Fish5_PondTime,37.1
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,641
Pond9Fish5_TimeLeft,571.806
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,5.454545454545454
Pond9Fish6_CatchTime,1.138
Pond9Fish6_PondTime,45.468
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,651
Pond9Fish6_TimeLeft,563.438
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6
Pond9Fish7_CatchTime,1.043
Pond9Fish7_PondTime,54.5
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,661
Pond9Fish7_TimeLeft,554.406
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,6.666666666666667
Pond9Fish8_CatchTime,1.062
Pond9Fish8_PondTime,64.369
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,671
Pond9Fish8_TimeLeft,544.537
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,7.5
Pond9Fish9_CatchTime,1.089
Pond9Fish9_PondTime,75.3
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,681
Pond9Fish9_TimeLeft,533.606
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,golden
Pond9Fish10_FishLatency,8.571428571428571
Pond9Fish10_CatchTime,0.992
Pond9Fish10_PondTime,87.668
Pond9Fish10_PondOutcome,120
Pond9Fish10_TotalOutcome,701
Pond9Fish10_TimeLeft,521.238
Type,RT
FishN,16
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,10
Pond9Fish11_CatchTime,1.026
Pond9Fish11_PondTime,102.036
Pond9Fish11_PondOutcome,130
Pond9Fish11_TotalOutcome,711
Pond9Fish11_TimeLeft,506.87
Type,RT
FishN,16
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,12
Pond9Fish12_CatchTime,1.259
Pond9Fish12_PondTime,119.401
Pond9Fish12_PondOutcome,140
Pond9Fish12_TotalOutcome,721
Pond9Fish12_TimeLeft,489.505
Type,RT
FishN,16
Fish,13
Pond9Fish13_FishType,golden
Pond9Fish13_FishLatency,15
Pond9Fish13_CatchTime,1.31
Pond9Fish13_PondTime,141.767
Pond9Fish13_PondOutcome,160
Pond9Fish13_TotalOutcome,741
Pond9Fish13_TimeLeft,467.139
Type,RT
FishN,16
Fish,14
Pond9Fish14_FishType,purple
Pond9Fish14_FishLatency,20
Pond9Fish14_CatchTime,1.511
Pond9Fish14_PondTime,174.137
Pond9Fish14_PondOutcome,170
Pond9Fish14_TotalOutcome,751
Pond9Fish14_TimeLeft,434.769
PondEnd_LastFish,14
FishN,16
Type,RT
GiveUpTime,33.694
PondTime,207.543
TimeLeft,400.86
PondOutcome,170
TotalOutcome,751
PondStart,PondStart
PondIntroTime,14.481663038022816
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,1.09
Pond4Fish1_PondTime,8.283
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,761
Pond4Fish1_TimeLeft,377.471
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,0.809
Pond4Fish2_PondTime,14.931
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,771
Pond4Fish2_TimeLeft,370.823
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,1.122
Pond4Fish3_PondTime,21.916
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,781
Pond4Fish3_TimeLeft,363.838
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,golden
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.722
Pond4Fish4_PondTime,29.282
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,801
Pond4Fish4_TimeLeft,356.472
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,-1
Pond4Fish5_PondTime,37.164
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,801
Pond4Fish5_TimeLeft,348.59
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,1.201
Pond4Fish6_PondTime,45.532
Pond4Fish6_PondOutcome,60
Pond4Fish6_TotalOutcome,811
Pond4Fish6_TimeLeft,340.222
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,1.223
Pond4Fish7_PondTime,54.567
Pond4Fish7_PondOutcome,70
Pond4Fish7_TotalOutcome,821
Pond4Fish7_TimeLeft,331.187
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,purple
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.964
Pond4Fish8_PondTime,64.698
Pond4Fish8_PondOutcome,80
Pond4Fish8_TotalOutcome,831
Pond4Fish8_TimeLeft,321.056
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,1.38
Pond4Fish9_PondTime,75.632
Pond4Fish9_PondOutcome,90
Pond4Fish9_TotalOutcome,841
Pond4Fish9_TimeLeft,310.122
Type,RT
