,5d494d958e0dc5001a99a392
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,0.86
Pond4Fish1_PondTime,7.602
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,604
Pond4Fish1_TimeLeft,642.94
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.806
Pond4Fish2_PondTime,13.502
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,614
Pond4Fish2_TimeLeft,637.04
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.5294117647058822
Pond4Fish3_CatchTime,0.97
Pond4Fish3_PondTime,19.617
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,624
Pond4Fish3_TimeLeft,630.925
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,golden
Pond4Fish4_FishLatency,3.75
Pond4Fish4_CatchTime,0.755
Pond4Fish4_PondTime,25.985
Pond4Fish4_PondOutcome,50
Pond4Fish4_TotalOutcome,644
Pond4Fish4_TimeLeft,624.557
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4
Pond4Fish5_CatchTime,1.277
Pond4Fish5_PondTime,32.635
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,654
Pond4Fish5_TimeLeft,617.907
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.285714285714286
Pond4Fish6_CatchTime,1.551
Pond4Fish6_PondTime,39.618
Pond4Fish6_PondOutcome,70
Pond4Fish6_TotalOutcome,664
Pond4Fish6_TimeLeft,610.924
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,4.615384615384615
Pond4Fish7_CatchTime,1.102
Pond4Fish7_PondTime,46.986
Pond4Fish7_PondOutcome,80
Pond4Fish7_TotalOutcome,674
Pond4Fish7_TimeLeft,603.556
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,golden
Pond4Fish8_FishLatency,5
Pond4Fish8_CatchTime,0.997
Pond4Fish8_PondTime,54.805
Pond4Fish8_PondOutcome,100
Pond4Fish8_TotalOutcome,694
Pond4Fish8_TimeLeft,595.737
PondEnd_LastFish,8
FishN,16
Type,RT
GiveUpTime,0.763
PondTime,63.147
TimeLeft,586.894
PondOutcome,100
TotalOutcome,694
PondStart,PondStart
PondIntroTime,15.125862548593432
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,golden
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.245
Pond6Fish1_PondTime,8.021
Pond6Fish1_PondOutcome,20
Pond6Fish1_TotalOutcome,714
Pond6Fish1_TimeLeft,563.135
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.083
Pond6Fish2_PondTime,14.383
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,724
Pond6Fish2_TimeLeft,556.773
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,1.118
Pond6Fish3_PondTime,21.034
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,734
Pond6Fish3_TimeLeft,550.122
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.016
Pond6Fish4_PondTime,28.003
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,744
Pond6Fish4_TimeLeft,543.153
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,1.251
Pond6Fish5_PondTime,35.385
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,754
Pond6Fish5_TimeLeft,535.771
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.156
Pond6Fish6_PondTime,43.217
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,764
Pond6Fish6_TimeLeft,527.939
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,golden
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.838
Pond6Fish7_PondTime,51.595
Pond6Fish7_PondOutcome,90
Pond6Fish7_TotalOutcome,784
Pond6Fish7_TimeLeft,519.561
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.095
Pond6Fish8_PondTime,60.624
Pond6Fish8_PondOutcome,100
Pond6Fish8_TotalOutcome,794
Pond6Fish8_TimeLeft,510.532
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.108
Pond6Fish9_PondTime,70.484
Pond6Fish9_PondOutcome,110
Pond6Fish9_TotalOutcome,804
Pond6Fish9_TimeLeft,500.672
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,1.192
Pond6Fish10_PondTime,81.419
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,814
Pond6Fish10_TimeLeft,489.737
Type,RT
FishN,19
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,1.236
Pond6Fish11_PondTime,93.787
Pond6Fish11_PondOutcome,130
Pond6Fish11_TotalOutcome,824
Pond6Fish11_TimeLeft,477.369
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,golden
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,1.125
Pond6Fish12_PondTime,108.152
Pond6Fish12_PondOutcome,150
Pond6Fish12_TotalOutcome,844
Pond6Fish12_TimeLeft,463.004
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,1.284
PondTime,108.767
TimeLeft,461.876
PondOutcome,150
TotalOutcome,844
PondStart,PondStart
PondIntroTime,15.159538064617664
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.073
Pond7Fish1_PondTime,7.805
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,856
Pond7Fish1_TimeLeft,438.299
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.993
Pond7Fish2_PondTime,13.919
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,868
Pond7Fish2_TimeLeft,432.185
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.75
