,56ab570169b247000d5cb3a5
Pond12Fish15_FishLatency,15
Pond12Fish15_CatchTime,1.271
Pond12Fish15_PondTime,154.07
Pond12Fish15_PondOutcome,140
Pond12Fish15_TotalOutcome,750
Pond12Fish15_TimeLeft,135.168
Type,RD
FishN,13
Fish,16
Pond12Fish16_FishType,blue
Pond12Fish16_FishLatency,20
Pond12Fish16_CatchTime,1.066
Pond12Fish16_PondTime,186.443
Pond12Fish16_PondOutcome,152
Pond12Fish16_TotalOutcome,762
Pond12Fish16_TimeLeft,102.794
Type,RD
FishN,13
Fish,17
Pond12Fish17_FishType,blue
Pond12Fish17_FishLatency,30
Pond12Fish17_CatchTime,1.266
Pond12Fish17_PondTime,248.803
Pond12Fish17_PondOutcome,164
Pond12Fish17_TotalOutcome,774
Pond12Fish17_TimeLeft,40.435
Type,RD
FishN,13
Fish,18
Pond12Fish18_FishType,gray
Pond12Fish18_FishLatency,60
Pond12Fish18_CatchTime,1.364
Pond12Fish18_PondTime,251.172
Pond12Fish18_PondOutcome,166
Pond12Fish18_TotalOutcome,776
Pond12Fish18_TimeLeft,38.066
PondEnd_LastFish,18
FishN,13
Type,RD
GiveUpTime,13.672
PondTime,264.41
TimeLeft,24.323
PondOutcome,166
TotalOutcome,776
PondStart,PondStart
PondIntroTime,16.563034455757588
