, 5de6e9a748241d67583acb96
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,1.592
Pond11Fish8_PondTime,82.251
Pond11Fish8_PondOutcome,66
Pond11Fish8_TotalOutcome,669
Pond11Fish8_TimeLeft,146.701
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,1.348
Pond11Fish9_PondTime,99.656
Pond11Fish9_PondOutcome,78
Pond11Fish9_TotalOutcome,681
Pond11Fish9_TimeLeft,129.296
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,1.436
Pond11Fish10_PondTime,122.061
Pond11Fish10_PondOutcome,90
Pond11Fish10_TotalOutcome,693
Pond11Fish10_TimeLeft,106.891
Type,RD
FishN,14
Fish,11
Pond11Fish11_FishType,gray
Pond11Fish11_FishLatency,20
Pond11Fish11_CatchTime,1.639
Pond11Fish11_PondTime,154.488
Pond11Fish11_PondOutcome,92
Pond11Fish11_TotalOutcome,695
Pond11Fish11_TimeLeft,74.464
PondEnd_LastFish,11
FishN,14
Type,RD
GiveUpTime,53.322
PondTime,207.615
TimeLeft,20.816
PondOutcome,92
TotalOutcome,695
PondStart,PondStart
PondIntroTime,16.37452920898795
