,59c0de1c754a19000111c362
Pond2Fish13_PondTime,141.972
Pond2Fish13_PondOutcome,136
Pond2Fish13_TotalOutcome,632
Pond2Fish13_TimeLeft,425.384
Type,RD
FishN,12
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,20
Pond2Fish14_CatchTime,0.855
Pond2Fish14_PondTime,174.349
Pond2Fish14_PondOutcome,148
Pond2Fish14_TotalOutcome,644
Pond2Fish14_TimeLeft,393.007
PondEnd_LastFish,14
FishN,12
Type,RD
GiveUpTime,54.291
PondTime,227.691
TimeLeft,339.145
PondOutcome,148
TotalOutcome,644
PondStart,PondStart
PondIntroTime,10.539193036966026
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.615384615384615
Pond9Fish1_CatchTime,0.97
Pond9Fish1_PondTime,9.329
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,655
Pond9Fish1_TimeLeft,318.633
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5
Pond9Fish2_CatchTime,1.376
Pond9Fish2_PondTime,17.183
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,666
Pond9Fish2_TimeLeft,310.779
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5.454545454545454
Pond9Fish3_CatchTime,0.889
Pond9Fish3_PondTime,25.587
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,677
Pond9Fish3_TimeLeft,302.376
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6
Pond9Fish4_CatchTime,1.184
Pond9Fish4_PondTime,34.627
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,688
Pond9Fish4_TimeLeft,293.336
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6.666666666666667
Pond9Fish5_CatchTime,1.128
Pond9Fish5_PondTime,44.503
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,699
Pond9Fish5_TimeLeft,283.46
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,7.5
Pond9Fish6_CatchTime,0.765
Pond9Fish6_PondTime,55.48
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,710
Pond9Fish6_TimeLeft,272.482
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,8.571428571428571
Pond9Fish7_CatchTime,1.065
Pond9Fish7_PondTime,67.868
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,721
Pond9Fish7_TimeLeft,260.095
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,10
Pond9Fish8_CatchTime,1.289
Pond9Fish8_PondTime,82.261
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,732
Pond9Fish8_TimeLeft,245.702
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,12
Pond9Fish9_CatchTime,0.817
Pond9Fish9_PondTime,99.638
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,743
Pond9Fish9_TimeLeft,228.325
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,15
Pond9Fish10_CatchTime,1.059
Pond9Fish10_PondTime,122.023
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,754
Pond9Fish10_TimeLeft,205.94
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,30.914
PondTime,152.208
TimeLeft,175.248
PondOutcome,110
TotalOutcome,754
PondStart,PondStart
PondIntroTime,11.149197190534323
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.079
Pond5Fish1_PondTime,9.281
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,765
Pond5Fish1_TimeLeft,154.177
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.009
Pond5Fish2_PondTime,17.113
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,776
Pond5Fish2_TimeLeft,146.345
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.134
Pond5Fish3_PondTime,25.506
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,787
Pond5Fish3_TimeLeft,137.952
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.034
Pond5Fish4_PondTime,34.557
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,798
Pond5Fish4_TimeLeft,128.901
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.893
Pond5Fish5_PondTime,44.447
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,809
Pond5Fish5_TimeLeft,119.011
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.147
Pond5Fish6_PondTime,55.416
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,820
Pond5Fish6_TimeLeft,108.042
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
