,57ac85fec80df50001a5b25d
Pond8Fish13_FishLatency,10
Pond8Fish13_CatchTime,1.951
Pond8Fish13_PondTime,114.562
Pond8Fish13_PondOutcome,156
Pond8Fish13_TotalOutcome,448
Pond8Fish13_TimeLeft,678.714
Type,RD
FishN,17
Fish,14
Pond8Fish14_FishType,blue
Pond8Fish14_FishLatency,12
Pond8Fish14_CatchTime,1.306
Pond8Fish14_PondTime,131.952
Pond8Fish14_PondOutcome,168
Pond8Fish14_TotalOutcome,460
Pond8Fish14_TimeLeft,661.324
Type,RD
FishN,17
Fish,15
Pond8Fish15_FishType,blue
Pond8Fish15_FishLatency,15
Pond8Fish15_CatchTime,1.806
Pond8Fish15_PondTime,154.479
Pond8Fish15_PondOutcome,180
Pond8Fish15_TotalOutcome,472
Pond8Fish15_TimeLeft,638.798
Type,RD
FishN,17
Fish,16
Pond8Fish16_FishType,blue
Pond8Fish16_FishLatency,20
Pond8Fish16_CatchTime,1.547
Pond8Fish16_PondTime,186.869
Pond8Fish16_PondOutcome,192
Pond8Fish16_TotalOutcome,484
Pond8Fish16_TimeLeft,606.408
Type,RD
FishN,17
Fish,17
Pond8Fish17_FishType,blue
Pond8Fish17_FishLatency,30
Pond8Fish17_CatchTime,1.463
Pond8Fish17_PondTime,249.264
Pond8Fish17_PondOutcome,204
Pond8Fish17_TotalOutcome,496
Pond8Fish17_TimeLeft,544.013
Type,RD
FishN,17
Fish,18
Pond8Fish18_FishType,blue
Pond8Fish18_FishLatency,60
Pond8Fish18_CatchTime,1.545
Pond8Fish18_PondTime,251.628
Pond8Fish18_PondOutcome,216
Pond8Fish18_TotalOutcome,508
Pond8Fish18_TimeLeft,541.649
PondEnd_LastFish,18
FishN,17
Type,RD
GiveUpTime,5.453
PondTime,256.826
TimeLeft,535.916
PondOutcome,216
TotalOutcome,508
PondStart,PondStart
PondIntroTime,10.224662551190704
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.065
Pond9Fish1_PondTime,8.583
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,520
Pond9Fish1_TimeLeft,516.481
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,1.641
Pond9Fish2_PondTime,15.574
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,532
Pond9Fish2_TimeLeft,509.49
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,1.599
Pond9Fish3_PondTime,22.96
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,544
Pond9Fish3_TimeLeft,502.103
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.365
Pond9Fish4_PondTime,30.79
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,556
Pond9Fish4_TimeLeft,494.274
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,gray
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,1.586
Pond9Fish5_PondTime,39.179
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,558
Pond9Fish5_TimeLeft,485.885
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,1.316
Pond9Fish6_PondTime,48.236
Pond9Fish6_PondOutcome,62
Pond9Fish6_TotalOutcome,570
Pond9Fish6_TimeLeft,476.828
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,1.528
Pond9Fish7_PondTime,58.112
Pond9Fish7_PondOutcome,74
Pond9Fish7_TotalOutcome,582
Pond9Fish7_TimeLeft,466.952
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.419
Pond9Fish8_PondTime,69.055
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,594
Pond9Fish8_TimeLeft,456.008
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.421
Pond9Fish9_PondTime,81.465
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,606
Pond9Fish9_TimeLeft,443.599
Type,RD
FishN,16
Fish,10
Pond9Fish10_FishType,blue
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,1.759
Pond9Fish10_PondTime,95.896
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,618
Pond9Fish10_TimeLeft,429.168
Type,RD
FishN,16
Fish,11
Pond9Fish11_FishType,blue
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,1.256
Pond9Fish11_PondTime,113.265
Pond9Fish11_PondOutcome,122
Pond9Fish11_TotalOutcome,630
Pond9Fish11_TimeLeft,411.799
Type,RD
FishN,16
Fish,12
Pond9Fish12_FishType,blue
Pond9Fish12_FishLatency,15
Pond9Fish12_CatchTime,1.509
Pond9Fish12_PondTime,135.639
Pond9Fish12_PondOutcome,134
Pond9Fish12_TotalOutcome,642
Pond9Fish12_TimeLeft,389.425
Type,RD
FishN,16
Fish,13
Pond9Fish13_FishType,blue
Pond9Fish13_FishLatency,20
Pond9Fish13_CatchTime,1.831
Pond9Fish13_PondTime,168.176
Pond9Fish13_PondOutcome,146
Pond9Fish13_TotalOutcome,654
Pond9Fish13_TimeLeft,356.888
Type,RD
FishN,16
Fish,14
Pond9Fish14_FishType,blue
Pond9Fish14_FishLatency,30
Pond9Fish14_CatchTime,1.555
Pond9Fish14_PondTime,230.563
Pond9Fish14_PondOutcome,158
Pond9Fish14_TotalOutcome,666
Pond9Fish14_TimeLeft,294.501
Type,RD
FishN,16
Fish,15
Pond9Fish15_FishType,gray
Pond9Fish15_FishLatency,60
Pond9Fish15_CatchTime,1.653
Pond9Fish15_PondTime,232.935
Pond9Fish15_PondOutcome,160
Pond9Fish15_TotalOutcome,668
Pond9Fish15_TimeLeft,292.129
PondEnd_LastFish,15
FishN,16
Type,RD
GiveUpTime,2.823
PondTime,235.614
TimeLeft,288.946
PondOutcome,160
TotalOutcome,668
PondStart,PondStart
PondIntroTime,19.332583446521312
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.145
Pond1Fish1_PondTime,8.905
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,678
Pond1Fish1_TimeLeft,260.079
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.29
Pond1Fish2_PondTime,16.278
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,688
Pond1Fish2_TimeLeft,252.706
Type,RT
FishN,19
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,1.247
Pond1Fish3_PondTime,24.104
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,698
Pond1Fish3_TimeLeft,244.88
Type,RT
FishN,19
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.282
Pond1Fish4_PondTime,32.473
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,708
Pond1Fish4_TimeLeft,236.51
Type,RT
FishN,19
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.232
Pond1Fish5_PondTime,41.54
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,718
Pond1Fish5_TimeLeft,227.444
Type,RT
FishN,19
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,1.193
Pond1Fish6_PondTime,51.401
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,728
Pond1Fish6_TimeLeft,217.583
Type,RT
FishN,19
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,1.305
Pond1Fish7_PondTime,62.362
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,738
Pond1Fish7_TimeLeft,206.622
Type,RT
FishN,19
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,1.483
Pond1Fish8_PondTime,74.747
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,748
Pond1Fish8_TimeLeft,194.237
Type,RT
FishN,19
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,1.801
Pond1Fish9_PondTime,89.243
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,758
Pond1Fish9_TimeLeft,179.741
Type,RT
FishN,19
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,1.892
Pond1Fish10_PondTime,106.826
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,768
Pond1Fish10_TimeLeft,162.158
Type,RT
FishN,19
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,1.419
Pond1Fish11_PondTime,129.205
Pond1Fish11_PondOutcome,110
Pond1Fish11_TotalOutcome,778
Pond1Fish11_TimeLeft,139.778
Type,RT
FishN,19
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,20
Pond1Fish12_CatchTime,1.375
Pond1Fish12_PondTime,161.596
Pond1Fish12_PondOutcome,120
Pond1Fish12_TotalOutcome,788
Pond1Fish12_TimeLeft,107.388
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,1.622
PondTime,162.798
TimeLeft,105.675
PondOutcome,120
TotalOutcome,788
PondStart,PondStart
PondIntroTime,17.093112363945693
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,1.366
Pond12Fish1_PondTime,8.925
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,798
Pond12Fish1_TimeLeft,79.032
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,1.26
Pond12Fish2_PondTime,16.3
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,818
Pond12Fish2_TimeLeft,71.656
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,1.27
Pond12Fish3_PondTime,24.125
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,828
Pond12Fish3_TimeLeft,63.832
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,1.304
Pond12Fish4_PondTime,32.502
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,838
Pond12Fish4_TimeLeft,55.455
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,1.388
Pond12Fish5_PondTime,41.553
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,848
Pond12Fish5_TimeLeft,46.404
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,1.586
Pond12Fish6_PondTime,51.419
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,858
Pond12Fish6_TimeLeft,36.537
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,1.372
Pond12Fish7_PondTime,62.401
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,868
Pond12Fish7_TimeLeft,25.556
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,1.598
Pond12Fish8_PondTime,74.781
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,878
Pond12Fish8_TimeLeft,13.176
