,5d5fc2010740150018a0291e
Pond7Fish10_TotalOutcome,631
Pond7Fish10_TimeLeft,454.913
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,gray
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,0.844
Pond7Fish11_PondTime,87.221
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,633
Pond7Fish11_TimeLeft,443.981
Type,RD
FishN,15
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,0.72
Pond7Fish12_PondTime,99.575
Pond7Fish12_PondOutcome,134
Pond7Fish12_TotalOutcome,645
Pond7Fish12_TimeLeft,431.627
PondEnd_LastFish,12
FishN,15
Type,RD
GiveUpTime,1.386
PondTime,99.88
TimeLeft,430.821
PondOutcome,134
TotalOutcome,645
PondStart,PondStart
PondIntroTime,15.240904584061354
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.982
Pond8Fish1_PondTime,7.601
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,657
Pond8Fish1_TimeLeft,407.372
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,0.869
Pond8Fish2_PondTime,13.489
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,669
Pond8Fish2_TimeLeft,401.484
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.087
Pond8Fish3_PondTime,19.594
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,681
Pond8Fish3_TimeLeft,395.379
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.868
Pond8Fish4_PondTime,25.95
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,693
Pond8Fish4_TimeLeft,389.023
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,0.609
Pond8Fish5_PondTime,32.594
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,705
Pond8Fish5_TimeLeft,382.379
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,gray
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,0.762
Pond8Fish6_PondTime,39.569
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,707
Pond8Fish6_TimeLeft,375.404
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,0.628
Pond8Fish7_PondTime,46.924
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,719
Pond8Fish7_TimeLeft,368.049
PondEnd_LastFish,7
FishN,17
Type,RD
GiveUpTime,1.568
PondTime,47.318
TimeLeft,367.153
PondOutcome,74
TotalOutcome,719
PondStart,PondStart
PondIntroTime,14.718937219586223
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,0.85
Pond12Fish1_PondTime,8.269
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,729
Pond12Fish1_TimeLeft,343.557
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,0.995
Pond12Fish2_PondTime,14.914
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,739
Pond12Fish2_TimeLeft,336.912
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,0.641
Pond12Fish3_PondTime,21.888
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,749
Pond12Fish3_TimeLeft,329.938
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,0.572
Pond12Fish4_PondTime,29.245
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,759
Pond12Fish4_TimeLeft,322.581
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,0.675
Pond12Fish5_PondTime,37.055
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,779
Pond12Fish5_TimeLeft,314.771
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,0.749
Pond12Fish6_PondTime,45.413
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,789
Pond12Fish6_TimeLeft,306.413
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,0.775
Pond12Fish7_PondTime,54.439
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,799
Pond12Fish7_TimeLeft,297.387
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6.666666666666667
Pond12Fish8_CatchTime,0.744
Pond12Fish8_PondTime,64.301
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,809
Pond12Fish8_TimeLeft,287.525
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,7.5
Pond12Fish9_CatchTime,0.65
Pond12Fish9_PondTime,75.232
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,819
Pond12Fish9_TimeLeft,276.594
Type,RT
FishN,13
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,8.571428571428571
